locationjob,location,job,gd_salary,indeed_salary,ps_salary,city,state,vote,v_gd_salary,v_indeed_salary,v_ps_salary,avg_salary,remove_or_not,Region
sunnyvale californiachief technology officer,sunnyvale california,chief technology officer,209182,205621,190000,SUNNYVALE ,California,55,11505010,11309155,10450000,201601,no,West
fort lauderdale floridadirector of engineering,fort lauderdale florida,director of engineering,209080,190249,161942,FORT LAUDERDALE ,Florida,29,6063320,5517221,4696318,187090.3333,no,South
oklahoma city oklahomachief operating officer,oklahoma city oklahoma,chief operating officer,208929,107809,175000, CITY ,Oklahoma,7,1462503,754663,1225000,163912.6667,no,South
albuquerque new mexicodirector of engineering,albuquerque new mexico,director of engineering,208853,205516,140000,ALBUQUERQUE ,New Mexico,5,1044265,1027580,700000,184789.6667,no,West
reno nevadadirector of engineering,reno nevada,director of engineering,208845,144145,135000,RENO ,Nevada,6,1253070,864870,810000,162663.3333,no,West
chicago illinoissenior engineering manager,chicago illinois,senior engineering manager,208585,157485,150414,CHICAGO ,Illinois,20,4171700,3149700,3008280,172161.3333,no,Midwest
indianapolis indianachief technology officer,indianapolis indiana,chief technology officer,208265,226775,182554,POLIS ,Indiana,11,2290915,2494525,2008094,205864.6667,no,Midwest
albuquerque new mexicochief operating officer,albuquerque new mexico,chief operating officer,208099,85677,150000,ALBUQUERQUE ,New Mexico,5,1040495,428385,750000,147925.3333,no,West
tampa floridasenior engineering manager,tampa florida,senior engineering manager,208091,130991,114783,TAMPA ,Florida,29,6034639,3798739,3328707,151288.3333,no,South
los angeles californiasenior engineering manager,los angeles california,senior engineering manager,208007,174530,170036,LOS ANGELES ,California,55,11440385,9599150,9351980,184191,no,West
jersey city new jerseychief operating officer,jersey city new jersey,chief operating officer,207726,117434,201182,JERSEY CITY ,New Jersey,14,2908164,1644076,2816548,175447.3333,no,North East
overland park kansasdirector of engineering,overland park kansas,director of engineering,207566,115939,140208,OVERLAND PARK ,Kansas,6,1245396,695634,841248,154571,no,Midwest
cincinnati ohiochief operating officer,cincinnati ohio,chief operating officer,207468,234218,215000,CINCINNATI ,Ohio,18,3734424,4215924,3870000,218895.3333,no,Midwest
chattanooga tennesseechief operating officer,chattanooga tennessee,chief operating officer,206980,89497,180000,CHATTANOOGA ,Tennessee,11,2276780,984467,1980000,158825.6667,no,South
memphis tennesseechief operating officer,memphis tennessee,chief operating officer,206947,136823,192500,MEMPHIS ,Tennessee,11,2276417,1505053,2117500,178756.6667,no,South
knoxville tennesseechief technology officer,knoxville tennessee,chief technology officer,206854,140585,157000,KNOXVILLE ,Tennessee,11,2275394,1546435,1727000,168146.3333,no,South
fort worth texasdirector of engineering,fort worth texas,director of engineering,206778,143848,89655,FORT WORTH ,Texas,38,7857564,5466224,3406890,146760.3333,no,South
dayton ohiosenior engineer,dayton ohio,senior engineer,206375,135311,138000,DAYTON ,Ohio,18,3714750,2435598,2484000,159895.3333,no,Midwest
orlando floridasenior engineer,orlando florida,senior engineer,206365,149338,167865,ORLANDO ,Florida,29,5984585,4330802,4868085,174522.6667,no,South
harrisburg pennsylvaniachief technology officer,harrisburg pennsylvania,chief technology officer,206304,96489,117916,HARRISBURG ,Pennsylvania,20,4126080,1929780,2358320,140236.3333,no,North East
portland oregonsenior engineer,portland oregon,senior engineer,206054,209677,198970,PORTLAND ,Oregon,7,1442378,1467739,1392790,204900.3333,no,West
san francisco californiadirector of engineering,san francisco california,director of engineering,206022,223622,198587,SAN FRANCISCO ,California,55,11331210,12299210,10922285,209410.3333,no,West
tucson arizonachief operating officer,tucson arizona,chief operating officer,205626,112303,280000,TUCSON ,Arizona,11,2261886,1235333,3080000,199309.6667,no,West
colorado springs coloradochief operating officer,colorado springs colorado,chief operating officer,205622,211739,184000, SPRINGS ,Colorado,9,1850598,1905651,1656000,200453.6667,no,West
lansing michigansenior engineer,lansing michigan,senior engineer,205569,129653,97227,LANSING ,Michigan,16,3289104,2074448,1555632,144149.6667,no,Midwest
