locationjob,location,job,gd_salary,indeed_salary,ps_salary,city,state,vote,v_gd_salary,v_indeed_salary,v_ps_salary,avg_salary,remove_or_not,Region
portland oregondirector of engineering,portland oregon,director of engineering,178989,180187,162972,PORTLAND ,Oregon,7,1252923,1261309,1140804,174049.3333,no,West
seattle washingtonprincipal software architect,seattle washington,principal software architect,178904,180479,190000,SEATTLE ,Washington,12,2146848,2165748,2280000,183127.6667,no,West
kansas city kansasdirector of engineering,kansas city kansas,director of engineering,178842,153081,87806, CITY ,Kansas,6,1073052,918486,526836,139909.6667,no,Midwest
palo alto californiainformation technology manager,palo alto california,information technology manager,178751,79676,142420,PALO ALTO ,California,55,9831305,4382180,7833100,133615.6667,no,West
boston massachusettssenior data scientist,boston massachusetts,senior data scientist,178725,145130,141156,BOSTON ,Massachusetts,11,1965975,1596430,1552716,155003.6667,no,North East
charleston south carolinadirector of engineering,charleston south carolina,director of engineering,178695,128532,160000,CHARLESTON ,South Carolina,9,1608255,1156788,1440000,155742.3333,no,South
houston texasdata scientist,houston texas,data scientist,178595,238754,117000,HOUSTON ,Texas,38,6786610,9072652,4446000,178116.3333,no,South
tempe arizonadirector of engineering,tempe arizona,director of engineering,178511,115013,101130,TEMPE ,Arizona,11,1963621,1265143,1112430,131551.3333,no,West
cleveland ohioengineer manager,cleveland ohio,engineer manager,178434,116622,152605,CLEVELAND ,Ohio,18,3211812,2099196,2746890,149220.3333,no,Midwest
chicago illinoisengineer manager,chicago illinois,engineer manager,178290,148967,163000,CHICAGO ,Illinois,20,3565800,2979340,3260000,163419,no,Midwest
fort collins coloradosenior engineer,fort collins colorado,senior engineer,178202,144455,95254,FORT COLLINS ,Colorado,9,1603818,1300095,857286,139303.6667,no,West
oklahoma city oklahomaengineer manager,oklahoma city oklahoma,engineer manager,178126,156537,89500, CITY ,Oklahoma,7,1246882,1095759,626500,141387.6667,no,South
des moines iowasenior engineering manager,des moines iowa,senior engineering manager,178091,210790,114248,DES MOINES ,Iowa,6,1068546,1264740,685488,167709.6667,no,Midwest
sarasota floridachief technology officer,sarasota florida,chief technology officer,178010,89632,200000,SARASOTA ,Florida,29,5162290,2599328,5800000,155880.6667,no,South
louisville kentuckyprincipal software engineer,louisville kentucky,principal software engineer,177999,136584,131916,LOUISVILLE ,Kentucky,8,1423992,1092672,1055328,148833,no,South
tucson arizonadirector of engineering,tucson arizona,director of engineering,177942,208003,127500,TUCSON ,Arizona,11,1957362,2288033,1402500,171148.3333,no,West
sunnyvale californiadirector of engineering,sunnyvale california,director of engineering,177937,222821,209927,SUNNYVALE ,California,55,9786535,12255155,11545985,203561.6667,no,West
palo alto californiaprincipal software engineer,palo alto california,principal software engineer,177911,177608,196527,PALO ALTO ,California,55,9785105,9768440,10808985,184015.3333,no,West
lehi utahsenior engineer,lehi utah,senior engineer,177876,105797,105734,LEHI ,Utah,6,1067256,634782,634404,129802.3333,no,West
nashville tennesseeprincipal software engineer,nashville tennessee,principal software engineer,177821,219642,135717,NASHVILLE ,Tennessee,11,1956031,2416062,1492887,177726.6667,no,South
houston texassoftware architect,houston texas,software architect,177775,187092,139020,HOUSTON ,Texas,38,6755450,7109496,5282760,167962.3333,no,South
san francisco californiaengineer manager,san francisco california,engineer manager,177635,200000,194898,SAN FRANCISCO ,California,55,9769925,11000000,10719390,190844.3333,no,West
aurora coloradoprincipal software engineer,aurora colorado,principal software engineer,177625,143646,151306,AURORA ,Colorado,9,1598625,1292814,1361754,157525.6667,no,West
boston massachusettsdirector of engineering,boston massachusetts,director of engineering,177585,211565,169825,BOSTON ,Massachusetts,11,1953435,2327215,1868075,186325,no,North East
baltimore marylandchief technology officer,baltimore maryland,chief technology officer,177580,190027,200000,BALTIMORE ,Maryland,10,1775800,1900270,2000000,189202.3333,no,South
tampa floridasoftware engineering manager,tampa florida,software engineering manager,177317,168718,142546,TAMPA ,Florida,29,5142193,4892822,4133834,162860.3333,no,South
lubbock texasdirector of engineering,lubbock texas,director of engineering,177273,103945,117500,LUBBOCK ,Texas,38,6736374,3949910,4465000,132906,no,South
sunnyvale californiasenior engineering manager,sunnyvale california,senior engineering manager,177270,169148,191555,SUNNYVALE ,California,55,9749850,9303140,10535525,179324.3333,no,West
atlanta georgiasenior data scientist,atlanta georgia,senior data scientist,176782,121848,124869,ATLANTA ,Georgia,16,2828512,1949568,1997904,141166.3333,no,South
chicago illinoissoftware architect,chicago illinois,software architect,176721,153744,157000,CHICAGO ,Illinois,20,3534420,3074880,3140000,162488.3333,no,Midwest
san diego californiaengineer manager,san diego california,engineer manager,176677,276802,200000,SAN DIEGO ,California,55,9717235,15224110,11000000,217826.3333,no,West
new york new yorkprincipal software engineer,new york new york,principal software engineer,176625,181630,169055,New York,New York,29,5122125,5267270,4902595,175770,no,North East
boston massachusettssolutions architect,boston massachusetts,solutions architect,176512,141252,147901,BOSTON ,Massachusetts,11,1941632,1553772,1626911,155221.6667,no,North East
memphis tennesseesenior engineering manager,memphis tennessee,senior engineering manager,176347,124900,137500,MEMPHIS ,Tennessee,11,1939817,1373900,1512500,146249,no,South
honolulu hawaiiengineer manager,honolulu hawaii,engineer manager,176096,203543,155509,HONOLULU ,Hawaii,4,704384,814172,622036,178382.6667,no,West
miami floridadirector of engineering,miami florida,director of engineering,175951,235956,160000,MIAMI ,Florida,29,5102579,6842724,4640000,190635.6667,no,South
philadelphia pennsylvaniainformation technology manager,philadelphia pennsylvania,information technology manager,175950,99643,196275,PHILADELPHIA ,Pennsylvania,20,3519000,1992860,3925500,157289.3333,no,North East
new york new yorkinformation technology manager,new york new york,information technology manager,175789,124922,169785,New York,New York,29,5097881,3622738,4923765,156832,no,North East
reno nevadasoftware engineer,reno nevada,software engineer,175779,154431,119921,RENO ,Nevada,6,1054674,926586,719526,150043.6667,no,West
raleigh north carolinaprincipal software engineer,raleigh north carolina,principal software engineer,175775,143895,150000,RALEIGH ,North Carolina,15,2636625,2158425,2250000,156556.6667,no,South
newport beach californiachief technology officer,newport beach california,chief technology officer,175731,85749,152459,NEWPORT BEACH ,California,55,9665205,4716195,8385245,137979.6667,no,West
los angeles californiainformation technology manager,los angeles california,information technology manager,175697,142510,154772,LOS ANGELES ,California,55,9663335,7838050,8512460,157659.6667,no,West
palo alto californiasoftware architect,palo alto california,software architect,175651,163026,180000,PALO ALTO ,California,55,9660805,8966430,9900000,172892.3333,no,West
greensboro north carolinadirector of engineering,greensboro north carolina,director of engineering,175533,181906,160000,GREENSBORO ,North Carolina,15,2632995,2728590,2400000,172479.6667,no,South
omaha nebraskadirector of information technology,omaha nebraska,director of information technology,175512,83846,141467,OMAHA ,Nebraska,5,877560,419230,707335,133608.3333,no,Midwest
salt lake city utahdirector of information technology,salt lake city utah,director of information technology,175436,138248,102936,SALT LAKE CITY ,Utah,6,1052616,829488,617616,138873.3333,no,West
san mateo californiasenior engineering manager,san mateo california,senior engineering manager,175108,165828,168349,SAN MATEO ,California,55,9630940,9120540,9259195,169761.6667,no,West
austin texasengineer manager,austin texas,engineer manager,175089,135879,157692,AUSTIN ,Texas,38,6653382,5163402,5992296,156220,no,South
los angeles californiasoftware architect,los angeles california,software architect,174966,183178,180000,LOS ANGELES ,California,55,9623130,10074790,9900000,179381.3333,no,West
chicago illinoisprincipal software engineer,chicago illinois,principal software engineer,174892,178670,149833,CHICAGO ,Illinois,20,3497840,3573400,2996660,167798.3333,no,Midwest
columbus ohioprincipal software engineer,columbus ohio,principal software engineer,174817,87174,121399,COLUMBUS ,Ohio,18,3146706,1569132,2185182,127796.6667,no,Midwest
seattle washingtonsoftware engineering manager,seattle washington,software engineering manager,174806,192791,163242,SEATTLE ,Washington,12,2097672,2313492,1958904,176946.3333,no,West
philadelphia pennsylvaniasoftware engineer,philadelphia pennsylvania,software engineer,174735,134786,136872,PHILADELPHIA ,Pennsylvania,20,3494700,2695720,2737440,148797.6667,no,North East
omaha nebraskasoftware manager,omaha nebraska,software manager,174730,102044,78869,OMAHA ,Nebraska,5,873650,510220,394345,118547.6667,no,Midwest
austin texasprincipal software engineer,austin texas,principal software engineer,174643,165638,167751,AUSTIN ,Texas,38,6636434,6294244,6374538,169344,no,South
des moines iowaengineer manager,des moines iowa,engineer manager,174624,143640,124000,DES MOINES ,Iowa,6,1047744,861840,744000,147421.3333,no,Midwest
salt lake city utahengineer manager,salt lake city utah,engineer manager,174451,236000,144389,SALT LAKE CITY ,Utah,6,1046706,1416000,866334,184946.6667,no,West
columbus georgiasoftware engineer,columbus georgia,software engineer,174414,157319,67000,COLUMBUS ,Georgia,16,2790624,2517104,1072000,132911,no,South
san francisco californiaprincipal software engineer,san francisco california,principal software engineer,174395,187308,180114,SAN FRANCISCO ,California,55,9591725,10301940,9906270,180605.6667,no,West
baltimore marylanddirector of engineering,baltimore maryland,director of engineering,174386,165570,151696,BALTIMORE ,Maryland,10,1743860,1655700,1516960,163884,no,South
grand rapids michigandirector of engineering,grand rapids michigan,director of engineering,174182,104956,133165,GRAND RAPIDS ,Michigan,16,2786912,1679296,2130640,137434.3333,no,Midwest
washington district of columbiadirector of engineering,washington district of columbia,director of engineering,174094,181713,157143, DISTRICT OF COLUMBIA,Washington,12,2089128,2180556,1885716,170983.3333,no,West
baton rouge louisianasoftware architect,baton rouge louisiana,software architect,174043,124553,96287,BATON ROUGE ,Louisiana,8,1392344,996424,770296,131627.6667,no,South
cambridge massachusettschief technology officer,cambridge massachusetts,chief technology officer,173950,300000,209524,CAMBRIDGE ,Massachusetts,11,1913450,3300000,2304764,227824.6667,no,North East
las vegas nevadaprincipal software engineer,las vegas nevada,principal software engineer,173931,141021,125000,LAS VEGAS ,Nevada,6,1043586,846126,750000,146650.6667,no,West
boulder coloradosoftware quality assurance engineer,boulder colorado,software quality assurance engineer,173918,91641,90700,BOULDER ,Colorado,9,1565262,824769,816300,118753,no,West
mountain view californiaengineer manager,mountain view california,engineer manager,173852,166271,155985,MOUNTAIN VIEW ,California,55,9561860,9144905,8579175,165369.3333,no,West
nashville tennesseeinformation technology manager,nashville tennessee,information technology manager,173784,97014,196527,NASHVILLE ,Tennessee,11,1911624,1067154,2161797,155775,no,South
reno nevadaprincipal software engineer,reno nevada,principal software engineer,173736,145044,100796,RENO ,Nevada,6,1042416,870264,604776,139858.6667,no,West
tallahassee floridaengineer manager,tallahassee florida,engineer manager,173645,116287,110000,TALLAHASSEE ,Florida,29,5035705,3372323,3190000,133310.6667,no,South
tulsa oklahomadirector of engineering,tulsa oklahoma,director of engineering,173570,150000,163315,TULSA ,Oklahoma,7,1214990,1050000,1143205,162295,no,South
omaha nebraskainformation technology manager,omaha nebraska,information technology manager,173531,125898,157030,OMAHA ,Nebraska,5,867655,629490,785150,152153,no,Midwest
hartford connecticutdirector of engineering,hartford connecticut,director of engineering,173514,181095,159498,HARTFORD ,Connecticut,7,1214598,1267665,1116486,171369,no,North East
jersey city new jerseyprincipal software engineer,jersey city new jersey,principal software engineer,173397,160304,160000,JERSEY CITY ,New Jersey,14,2427558,2244256,2240000,164567,no,North East
boulder coloradosoftware architect,boulder colorado,software architect,173384,122319,147250,BOULDER ,Colorado,9,1560456,1100871,1325250,147651,no,West
fresno californiasenior engineer,fresno california,senior engineer,173383,126028,147279,FRESNO ,California,55,9536065,6931540,8100345,148896.6667,no,West
lexington kentuckyengineer manager,lexington kentucky,engineer manager,173361,121239,74000,LEXINGTON ,Kentucky,8,1386888,969912,592000,122866.6667,no,South
jersey city new jerseysoftware architect,jersey city new jersey,software architect,173352,146824,119219,JERSEY CITY ,New Jersey,14,2426928,2055536,1669066,146465,no,North East
des moines iowainformation technology manager,des moines iowa,information technology manager,173272,87519,170838,DES MOINES ,Iowa,6,1039632,525114,1025028,143876.3333,no,Midwest
tampa floridasoftware architect,tampa florida,software architect,173217,152964,126350,TAMPA ,Florida,29,5023293,4435956,3664150,150843.6667,no,South
boulder coloradoprincipal software engineer,boulder colorado,principal software engineer,173197,148212,162815,BOULDER ,Colorado,9,1558773,1333908,1465335,161408,no,West
baton rouge louisianaprincipal software engineer,baton rouge louisiana,principal software engineer,173145,145689,74116,BATON ROUGE ,Louisiana,8,1385160,1165512,592928,130983.3333,no,South
austin texassoftware architect,austin texas,software architect,173099,150867,149000,AUSTIN ,Texas,38,6577762,5732946,5662000,157655.3333,no,South
irvine californiadirector of engineering,irvine california,director of engineering,173038,164638,176874,IRVINE ,California,55,9517090,9055090,9728070,171516.6667,no,West
minneapolis minnesotainformation technology manager,minneapolis minnesota,information technology manager,172895,98411,190911,MINNEAPOLIS ,Minnesota,10,1728950,984110,1909110,154072.3333,no,Midwest
cleveland ohioprincipal software engineer,cleveland ohio,principal software engineer,172804,142940,134653,CLEVELAND ,Ohio,18,3110472,2572920,2423754,150132.3333,no,Midwest
seattle washingtonsenior software engineer,seattle washington,senior software engineer,172730,160787,156123,SEATTLE ,Washington,12,2072760,1929444,1873476,163213.3333,no,West
boston massachusettsprincipal software engineer,boston massachusetts,principal software engineer,172676,174730,170000,BOSTON ,Massachusetts,11,1899436,1922030,1870000,172468.6667,no,North East
detroit michiganprincipal software engineer,detroit michigan,principal software engineer,172625,135687,131962,DETROIT ,Michigan,16,2762000,2170992,2111392,146758,no,Midwest
santa barbara californiachief technology officer,santa barbara california,chief technology officer,172601,180544,180000,SANTA BARBARA ,California,55,9493055,9929920,9900000,177715,no,West
grand rapids michiganchief technology officer,grand rapids michigan,chief technology officer,172559,152304,143415,GRAND RAPIDS ,Michigan,16,2760944,2436864,2294640,156092.6667,no,Midwest
san francisco californiatechnical lead,san francisco california,technical lead,172447,158003,182220,SAN FRANCISCO ,California,55,9484585,8690165,10022100,170890,no,West
little rock arkansassenior engineer,little rock arkansas,senior engineer,172349,119570,85265,LITTLE ROCK ,Arkansas,6,1034094,717420,511590,125728,no,South
little rock arkansasdirector of engineering,little rock arkansas,director of engineering,172289,139644,92432,LITTLE ROCK ,Arkansas,6,1033734,837864,554592,134788.3333,no,South
new york new yorksoftware engineer,new york new york,software engineer,172267,183346,179008,New York,New York,29,4995743,5317034,5191232,178207,no,North East
rochester new yorksenior engineer,rochester new york,senior engineer,172242,224310,134815,ROCHESTER ,New York,29,4995018,6504990,3909635,177122.3333,no,North East
wichita kansasdata scientist,wichita kansas,data scientist,172209,214350,88983,WICHITA ,Kansas,6,1033254,1286100,533898,158514,no,Midwest
columbus ohiosenior engineering manager,columbus ohio,senior engineering manager,172187,169750,128247,COLUMBUS ,Ohio,18,3099366,3055500,2308446,156728,no,Midwest
san diego californiaprincipal software engineer,san diego california,principal software engineer,172176,157094,145766,SAN DIEGO ,California,55,9469680,8640170,8017130,158345.3333,no,West
san mateo californiasoftware engineering manager,san mateo california,software engineering manager,172105,137407,183539,SAN MATEO ,California,55,9465775,7557385,10094645,164350.3333,no,West
brooklyn new yorkdirector of engineering,brooklyn new york,director of engineering,172078,157417,122500,BROOKLYN ,New York,29,4990262,4565093,3552500,150665,no,North East
santa clara californiasoftware architect,santa clara california,software architect,172047,175397,190000,SANTA CLARA ,California,55,9462585,9646835,10450000,179148,no,West
minneapolis minnesotasenior engineering manager,minneapolis minnesota,senior engineering manager,172003,150145,149451,MINNEAPOLIS ,Minnesota,10,1720030,1501450,1494510,157199.6667,no,Midwest
hartford connecticutdirector of information technology,hartford connecticut,director of information technology,171958,137276,125438,HARTFORD ,Connecticut,7,1203706,960932,878066,144890.6667,no,North East
jersey city new jerseyinformation technology manager,jersey city new jersey,information technology manager,171936,147724,164268,JERSEY CITY ,New Jersey,14,2407104,2068136,2299752,161309.3333,no,North East
baton rouge louisianainformation technology manager,baton rouge louisiana,information technology manager,171926,82727,197739,BATON ROUGE ,Louisiana,8,1375408,661816,1581912,150797.3333,no,South
washington district of columbiaengineer manager,washington district of columbia,engineer manager,171923,183000,131419, DISTRICT OF COLUMBIA,Washington,12,2063076,2196000,1577028,162114,no,West
bellevue washingtonprincipal software engineer,bellevue washington,principal software engineer,171918,163571,161163,BELLEVUE ,Washington,12,2063016,1962852,1933956,165550.6667,no,West
huntsville alabamainformation technology manager,huntsville alabama,information technology manager,171911,137306,130000,HUNTSVILLE ,Alabama,9,1547199,1235754,1170000,146405.6667,no,South
pittsburgh pennsylvaniasoftware architect,pittsburgh pennsylvania,software architect,171806,157091,128922,PITTSBURGH ,Pennsylvania,20,3436120,3141820,2578440,152606.3333,no,North East
richmond virginiadirector of engineering,richmond virginia,director of engineering,171745,202422,120000,RICHMOND ,Virginia,13,2232685,2631486,1560000,164722.3333,no,South
chattanooga tennesseedirector of engineering,chattanooga tennessee,director of engineering,171740,156964,111250,CHATTANOOGA ,Tennessee,11,1889140,1726604,1223750,146651.3333,no,South
las vegas nevadasoftware architect,las vegas nevada,software architect,171627,128901,120000,LAS VEGAS ,Nevada,6,1029762,773406,720000,140176,no,West
tucson arizonadirector of information technology,tucson arizona,director of information technology,171626,106963,128359,TUCSON ,Arizona,11,1887886,1176593,1411949,135649.3333,no,West
lansing michigandirector of engineering,lansing michigan,director of engineering,171558,183860,119145,LANSING ,Michigan,16,2744928,2941760,1906320,158187.6667,no,Midwest
austin texasinformation technology manager,austin texas,information technology manager,171505,90884,153906,AUSTIN ,Texas,38,6517190,3453592,5848428,138765,no,South
miami floridaprincipal software engineer,miami florida,principal software engineer,171469,175011,140000,MIAMI ,Florida,29,4972601,5075319,4060000,162160,no,South
boise idahoprincipal software engineer,boise idaho,principal software engineer,171445,86173,146485,BOISE ,Idaho,4,685780,344692,585940,134701,no,West
bellevue washingtonsenior engineering manager,bellevue washington,senior engineering manager,171416,154441,139588,BELLEVUE ,Washington,12,2056992,1853292,1675056,155148.3333,no,West
buffalo new yorkdirector of engineering,buffalo new york,director of engineering,171390,131449,120007,BUFFALO ,New York,29,4970310,3812021,3480203,140948.6667,no,North East
san antonio texassoftware architect,san antonio texas,software architect,171385,133558,131481,SAN ANTONIO ,Texas,38,6512630,5075204,4996278,145474.6667,no,South
des moines iowadirector of information technology,des moines iowa,director of information technology,171303,137357,124860,DES MOINES ,Iowa,6,1027818,824142,749160,144506.6667,no,Midwest
reno nevadasenior engineering manager,reno nevada,senior engineering manager,171294,121226,123000,RENO ,Nevada,6,1027764,727356,738000,138506.6667,no,West
knoxville tennesseeprincipal software engineer,knoxville tennessee,principal software engineer,171282,123428,66129,KNOXVILLE ,Tennessee,11,1884102,1357708,727419,120279.6667,no,South
harrisburg pennsylvaniadirector of engineering,harrisburg pennsylvania,director of engineering,171243,114034,130000,HARRISBURG ,Pennsylvania,20,3424860,2280680,2600000,138425.6667,no,North East
tucson arizonaprincipal software engineer,tucson arizona,principal software engineer,171200,159207,154304,TUCSON ,Arizona,11,1883200,1751277,1697344,161570.3333,no,West
sunnyvale californiaprincipal software engineer,sunnyvale california,principal software engineer,171198,138832,194752,SUNNYVALE ,California,55,9415890,7635760,10711360,168260.6667,no,West
honolulu hawaiidirector of engineering,honolulu hawaii,director of engineering,171189,163949,137500,HONOLULU ,Hawaii,4,684756,655796,550000,157546,no,West
atlanta georgiaengineer manager,atlanta georgia,engineer manager,171125,171193,174613,ATLANTA ,Georgia,16,2738000,2739088,2793808,172310.3333,no,South
orlando floridadirector of engineering,orlando florida,director of engineering,171041,154195,117744,ORLANDO ,Florida,29,4960189,4471655,3414576,147660,no,South
san francisco californiasenior data scientist,san francisco california,senior data scientist,171002,167523,151511,SAN FRANCISCO ,California,55,9405110,9213765,8333105,163345.3333,no,West
fort wayne indianadirector of engineering,fort wayne indiana,director of engineering,170982,100837,97837,FORT WAYNE ,Indiana,11,1880802,1109207,1076207,123218.6667,no,Midwest
arlington virginiasenior engineer,arlington virginia,senior engineer,170971,158346,209524,ARLINGTON ,Virginia,13,2222623,2058498,2723812,179613.6667,no,South
tampa floridaprincipal software engineer,tampa florida,principal software engineer,170948,148579,135882,TAMPA ,Florida,29,4957492,4308791,3940578,151803,no,South
hillsboro oregondirector of engineering,hillsboro oregon,director of engineering,170909,206434,104500,HILLSBORO ,Oregon,7,1196363,1445038,731500,160614.3333,no,West
albuquerque new mexicoprincipal software engineer,albuquerque new mexico,principal software engineer,170898,76514,146600,ALBUQUERQUE ,New Mexico,5,854490,382570,733000,131337.3333,no,West
indianapolis indianadirector of engineering,indianapolis indiana,director of engineering,170895,210312,142808,POLIS ,Indiana,11,1879845,2313432,1570888,174671.6667,no,Midwest
houston texasinformation technology manager,houston texas,information technology manager,170878,119241,166720,HOUSTON ,Texas,38,6493364,4531158,6335360,152279.6667,no,South
irving texasdirector of engineering,irving texas,director of engineering,170768,155213,137083,IRVING ,Texas,38,6489184,5898094,5209154,154354.6667,no,South
richmond virginiasenior engineer,richmond virginia,senior engineer,170702,174833,197980,RICHMOND ,Virginia,13,2219126,2272829,2573740,181171.6667,no,South
san francisco californiasenior software engineer,san francisco california,senior software engineer,170663,194630,179010,SAN FRANCISCO ,California,55,9386465,10704650,9845550,181434.3333,no,West
new york new yorksoftware manager,new york new york,software manager,170618,139522,114678,New York,New York,29,4947922,4046138,3325662,141606,no,North East
palo alto californiadata scientist,palo alto california,data scientist,170583,163228,160000,PALO ALTO ,California,55,9382065,8977540,8800000,164603.6667,no,West
madison wisconsindirector of information technology,madison wisconsin,director of information technology,170576,155657,90000,MADISON ,Wisconsin,10,1705760,1556570,900000,138744.3333,no,Midwest
atlanta georgiainformation technology manager,atlanta georgia,information technology manager,170408,96783,179010,ATLANTA ,Georgia,16,2726528,1548528,2864160,148733.6667,no,South
atlanta georgiasoftware architect,atlanta georgia,software architect,170375,146594,140000,ATLANTA ,Georgia,16,2726000,2345504,2240000,152323,no,South
pittsburgh pennsylvaniasoftware quality assurance engineer,pittsburgh pennsylvania,software quality assurance engineer,170374,96419,87425,PITTSBURGH ,Pennsylvania,20,3407480,1928380,1748500,118072.6667,no,North East
dayton ohiosenior engineering manager,dayton ohio,senior engineering manager,170339,99855,99000,DAYTON ,Ohio,18,3066102,1797390,1782000,123064.6667,no,Midwest
los angeles californiasoftware engineer in test,los angeles california,software engineer in test,170321,99657,82089,LOS ANGELES ,California,55,9367655,5481135,4514895,117355.6667,no,West
charlotte north carolinainformation technology manager,charlotte north carolina,information technology manager,170308,110083,145429,CHARLOTTE ,North Carolina,15,2554620,1651245,2181435,141940,no,South
sunnyvale californiasenior data scientist,sunnyvale california,senior data scientist,170305,169073,166470,SUNNYVALE ,California,55,9366775,9299015,9155850,168616,no,West
plano texasprincipal software engineer,plano texas,principal software engineer,170283,158260,143400,PLANO ,Texas,38,6470754,6013880,5449200,157314.3333,no,South
columbus ohiodirector of information technology,columbus ohio,director of information technology,170278,113589,140000,COLUMBUS ,Ohio,18,3065004,2044602,2520000,141289,no,Midwest
boston massachusettssoftware architect,boston massachusetts,software architect,170264,203024,200000,BOSTON ,Massachusetts,11,1872904,2233264,2200000,191096,no,North East
boston massachusettsdirector of information technology,boston massachusetts,director of information technology,170239,201801,137866,BOSTON ,Massachusetts,11,1872629,2219811,1516526,169968.6667,no,North East
oklahoma city oklahomainformation technology manager,oklahoma city oklahoma,information technology manager,170234,127450,172464, CITY ,Oklahoma,7,1191638,892150,1207248,156716,no,South
el paso texasinformation technology manager,el paso texas,information technology manager,170170,106526,81000,EL PASO ,Texas,38,6466460,4047988,3078000,119232,no,South
san francisco californiasoftware engineering manager,san francisco california,software engineering manager,170140,203193,183277,SAN FRANCISCO ,California,55,9357700,11175615,10080235,185536.6667,no,West
nashville tennesseesenior engineering manager,nashville tennessee,senior engineering manager,170088,146984,125213,NASHVILLE ,Tennessee,11,1870968,1616824,1377343,147428.3333,no,South
baltimore marylandinformation technology manager,baltimore maryland,information technology manager,169863,91965,151696,BALTIMORE ,Maryland,10,1698630,919650,1516960,137841.3333,no,South
milpitas californiasoftware engineer,milpitas california,software engineer,169774,133572,164941,MILPITAS ,California,55,9337570,7346460,9071755,156095.6667,no,West
fairfax virginiadirector of engineering,fairfax virginia,director of engineering,169746,126276,159991,FAIRFAX ,Virginia,13,2206698,1641588,2079883,152004.3333,no,South
new york new yorksoftware architect,new york new york,software architect,169746,157733,151573,New York,New York,29,4922634,4574257,4395617,159684,no,North East
los angeles californiaengineer manager,los angeles california,engineer manager,169722,254940,182135,LOS ANGELES ,California,55,9334710,14021700,10017425,202265.6667,no,West
dayton ohiodirector of engineering,dayton ohio,director of engineering,169650,149813,140000,DAYTON ,Ohio,18,3053700,2696634,2520000,153154.3333,no,Midwest
spokane washingtondirector of engineering,spokane washington,director of engineering,169642,186273,137569,SPOKANE ,Washington,12,2035704,2235276,1650828,164494.6667,no,West
dallas texasdirector of information technology,dallas texas,director of information technology,169619,182536,140541,DALLAS ,Texas,38,6445522,6936368,5340558,164232,no,South
frisco texasprincipal software engineer,frisco texas,principal software engineer,169575,162364,137569,FRISCO ,Texas,38,6443850,6169832,5227622,156502.6667,no,South
san antonio texasinformation technology manager,san antonio texas,information technology manager,169547,118323,164042,SAN ANTONIO ,Texas,38,6442786,4496274,6233596,150637.3333,no,South
denver coloradosolutions architect,denver colorado,solutions architect,169470,106993,127367,DENVER ,Colorado,9,1525230,962937,1146303,134610,no,West
santa clara californiaprincipal software engineer,santa clara california,principal software engineer,169393,204714,190000,SANTA CLARA ,California,55,9316615,11259270,10450000,188035.6667,no,West
boston massachusettssoftware engineer in test,boston massachusetts,software engineer in test,169392,89042,89203,BOSTON ,Massachusetts,11,1863312,979462,981233,115879,no,North East
philadelphia pennsylvaniaprincipal software architect,philadelphia pennsylvania,principal software architect,169379,138144,169000,PHILADELPHIA ,Pennsylvania,20,3387580,2762880,3380000,158841,no,North East
eugene oregondirector of engineering,eugene oregon,director of engineering,169295,114368,109927,EUGENE ,Oregon,7,1185065,800576,769489,131196.6667,no,West
bloomington illinoisdirector of engineering,bloomington illinois,director of engineering,169229,99504,100000,BLOOMINGTON ,Illinois,20,3384580,1990080,2000000,122911,no,Midwest
los angeles californiaprincipal software architect,los angeles california,principal software architect,169181,175601,162462,LOS ANGELES ,California,55,9304955,9658055,8935410,169081.3333,no,West
denver coloradodirector of information technology,denver colorado,director of information technology,169180,149026,137455,DENVER ,Colorado,9,1522620,1341234,1237095,151887,no,West
nashville tennesseesoftware architect,nashville tennessee,software architect,169169,197659,140418,NASHVILLE ,Tennessee,11,1860859,2174249,1544598,169082,no,South
phoenix arizonasoftware engineering manager,phoenix arizona,software engineering manager,169131,137406,152308,PHOENIX ,Arizona,11,1860441,1511466,1675388,152948.3333,no,West
palo alto californiasoftware developer,palo alto california,software developer,168907,168752,140000,PALO ALTO ,California,55,9289885,9281360,7700000,159219.6667,no,West
ann arbor michigansoftware engineering manager,ann arbor michigan,software engineering manager,168890,125280,143970,ANN ARBOR ,Michigan,16,2702240,2004480,2303520,146046.6667,no,Midwest
providence rhode islandinformation technology manager,providence rhode island,information technology manager,168870,94482,142500,PROVIDENCE ,Rhode Island,4,675480,377928,570000,135284,no,North East
los angeles californiaprincipal software engineer,los angeles california,principal software engineer,168800,165056,183257,LOS ANGELES ,California,55,9284000,9078080,10079135,172371,no,West
atlanta georgiasoftware engineer in test,atlanta georgia,software engineer in test,168757,108764,120466,ATLANTA ,Georgia,16,2700112,1740224,1927456,132662.3333,no,South
houston texassenior engineering manager,houston texas,senior engineering manager,168742,174208,152128,HOUSTON ,Texas,38,6412196,6619904,5780864,165026,no,South
houston texassoftware engineer in test,houston texas,software engineer in test,168723,114289,152061,HOUSTON ,Texas,38,6411474,4342982,5778318,145024.3333,no,South
redmond washingtonprincipal software engineer,redmond washington,principal software engineer,168719,156204,181237,REDMOND ,Washington,12,2024628,1874448,2174844,168720,no,West
redwood city californiasenior engineering manager,redwood city california,senior engineering manager,168705,226444,185000,REDWOOD CITY ,California,55,9278775,12454420,10175000,193383,no,West
