job,state,1,2,3,4,5,count
business intelligence developer,Minnesota,123873.3333,123873.3333,123873.3333,123873.3333,123873.3333,1
business intelligence developer,Missouri,104183.3333,104183.3333,104183.3333,104183.3333,104183.3333,1
business intelligence developer,Nebraska,114051.3333,114051.3333,114051.3333,114051.3333,114051.3333,1
business intelligence developer,Nevada,91836.375,99591.125,103468.5,107345.875,115100.625,2
business intelligence developer,New Mexico,91916.66667,91916.66667,91916.66667,91916.66667,91916.66667,1
business intelligence developer,New York,96276.58333,96607.08333,96772.33333,105873.0833225,124074.5833075,3
business intelligence developer,North Carolina,83973.16667,88554.04167375,94984.166685,101414.29169625,104214.75001250001,4
business intelligence developer,Ohio,103074.9166625,104616.74998749999,105387.66665,106158.5833125,107700.41663749999,2
business intelligence developer,Oklahoma,95927.79167,95940.04167,95946.16667,95952.29167,95964.54167,2
business intelligence developer,Oregon,113175.6667,113175.6667,113175.6667,113175.6667,113175.6667,1
business intelligence developer,Pennsylvania,93683.416675,105648.250025,111630.6667,113849.750025,118287.916675,3
business intelligence developer,South Carolina,87597.33333,87597.33333,87597.33333,87597.33333,87597.33333,1
business intelligence developer,Tennessee,84028.87499874999,90516.70832625,94825.833315,99134.95830375,102240.291675,4
business intelligence developer,Texas,94116.0,103374.6667,107322.6667,114739.3333,122618.3333,9
business intelligence developer,Utah,86296.0,94700.0,98902.0,103104.0,111508.0,2
business intelligence developer,Virginia,99651.54167375,99791.29168125,99861.166685,99931.04168875,100070.79169625,2
business intelligence developer,Washington,111863.999975,114705.333325,116126.0,117743.666675,120979.000025,3
business intelligence developer,Wisconsin,100035.33332625,103077.33331875,104598.333315,106119.33331125,109161.33330375,2
chief operating officer,Alabama,168516.3333375,174049.0000125,176815.33335,179581.6666875,185114.3333625,2
chief operating officer,Arizona,177849.9583125,186776.4583375,192147.83335,197519.2083625,209012.7917,4
chief operating officer,Arkansas,169279.6667,169279.6667,169279.6667,169279.6667,169279.6667,1
chief operating officer,California,185657.5417,203336.9167,209289.0,218692.37502500002,230577.5833,14
chief operating officer,Colorado,158172.583325,184070.1667,191091.6667,198113.1667,207802.4167,4
chief operating officer,Connecticut,223858.6667,223858.6667,223858.6667,223858.6667,223858.6667,1
chief operating officer,Florida,161068.83335,184614.99997499998,194355.0,202339.5,214347.75002500002,7
chief operating officer,Georgia,134759.0,134759.0,134759.0,134759.0,134759.0,1
chief operating officer,Hawaii,175273.6667,175273.6667,175273.6667,175273.6667,175273.6667,1
chief operating officer,Idaho,187929.0,187929.0,187929.0,187929.0,187929.0,1
chief operating officer,Illinois,145297.5416625,164506.6249875,174111.16665,183715.7083125,202924.7916375,2
chief operating officer,Indiana,184431.6667,184431.6667,184431.6667,184431.6667,184431.6667,1
chief operating officer,Iowa,196702.6667,196702.6667,196702.6667,196702.6667,196702.6667,1
chief operating officer,Kansas,194462.6667,194462.6667,194462.6667,194462.6667,194462.6667,1
chief operating officer,Kentucky,186510.50002500002,187528.166675,188037.0,188545.833325,189563.49997499998,2
chief operating officer,Maryland,195664.0,195664.0,195664.0,195664.0,195664.0,1
chief operating officer,Massachusetts,236713.0833,237338.5833,237651.3333,237964.0833,238589.5833,2
chief operating officer,Michigan,174120.4167,180161.9167,183182.6667,188028.6667,197720.6667,3
chief operating officer,Minnesota,224137.0,224137.0,224137.0,224137.0,224137.0,1
chief operating officer,Missouri,198259.0,198259.0,198259.0,198259.0,198259.0,1
chief operating officer,Nebraska,172121.4583375,177830.3750125,180684.83335,183539.2916875,189248.2083625,2
chief operating officer,Nevada,164575.5833,178292.0833,185150.3333,192008.5833,205725.0833,2
chief operating officer,New Jersey,175447.3333,175447.3333,175447.3333,175447.3333,175447.3333,1
chief operating officer,New Mexico,147925.3333,147925.3333,147925.3333,147925.3333,147925.3333,1
chief operating officer,New York,159177.66665,169746.66665,172556.3333,179116.8333,227850.8333,5
chief operating officer,North Carolina,154965.16665,183554.0,209042.0,231295.0,256040.0,5
chief operating officer,Ohio,167265.6666875,176038.1666625,181615.66665,187193.1666375,207704.2083,4
chief operating officer,Oklahoma,172401.37502500002,189378.791675,197867.5,206356.208325,223333.62497499998,2
chief operating officer,Oregon,147701.66665,161856.33335,168933.6667,172460.00002500002,179512.666675,3
