job,1,2,3,4,5,6,7,8,9,median,count
.net developer,0.9010470941969747,0.92534238265202,0.9459848702104037,0.9621732486312374,1.0,1.0370622826439881,1.044609274085155,1.0551233655276728,1.1264110919385821,102358.666665,12
analytics consultant,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,91485.0,1
application developer,0.8547417869271676,0.8877153470802958,0.927644578694242,0.9813055207983813,1.0,1.0224218512643748,1.0604124091246478,1.1245767626005347,1.2625861300064058,98349.0,69
business intelligence developer,0.8249638979890873,0.8989393596236053,0.9355345588474238,0.9857310933528631,1.0,1.0133651598138853,1.0554651453479034,1.1338541775557165,1.255261057106683,104795.16665,82
chief operating officer,0.7965883107364372,0.8772695410500793,0.9295520639644088,0.975668931019264,1.0,1.0210085238482414,1.0759808042739263,1.1733760096688095,1.262705226292962,190328.5,104
chief technology officer,0.8082698916764842,0.8541325184275652,0.9116062298514818,0.9718357256610561,1.0,1.0461312124151718,1.1625126501116232,1.3086916998308655,1.4770927392819002,187091.3333,99
cloud engineer,0.8713455005824612,0.9125351869606209,0.9301240961237728,0.9699657708195208,1.0,1.0025466846835354,1.0253531920056687,1.0507077058557344,1.0911123736659012,126111.6667,9
cyber security engineer,0.750994512247213,0.7967981600001052,0.8431000532148014,0.9544081895669044,1.0,1.0426650288237345,1.0860744558457969,1.1887375312314363,1.2612590379198159,126276.3333,45
data analyst,0.8295850155432567,0.8731780063114388,0.9353819541680223,0.9758076572173189,1.0,1.011388334680978,1.0609379944944852,1.129290078507831,1.230055333003788,95316.833335,128
data engineer,0.8206687933660399,0.886970262193905,0.9187846129548565,0.9771400189690765,1.0,1.027877437687251,1.089227666118099,1.137767878299492,1.2703647964512506,110746.6667,97
data scientist,0.7122466482033006,0.8712796747608023,0.8995816977654425,0.9610155745666182,1.0,1.032666592557575,1.1409776542457661,1.264682428713927,1.3682316608701472,129900.1667,80
director of engineering,0.7046261193271637,0.817337957963757,0.9125765900249139,0.9801000023525277,1.0,1.0162329149196159,1.0904854609911034,1.1500035862722604,1.2393860532980974,162663.3333,141
director of information technology,0.8759503754582245,0.9285136604599915,0.9617319035112641,0.9925627309745889,1.0,1.003095686279945,1.0696225463768216,1.1703731745081667,1.3216787820410651,144307.0,34
engineer manager,0.6427697490766122,0.8003827311819676,0.894529393758611,0.9637232092072806,1.0,1.0390143911914305,1.1016126763261758,1.2008665036315656,1.3298162892112226,136083.3333,167
frontend developer,0.8216759769828313,0.882202216286115,0.9284257888890267,0.9774579215664893,1.0,1.0239745257831812,1.0657240287092535,1.1261952963252952,1.2922892258408492,91713.66667,95
frontend software engineer,0.8466263187319781,0.9055653732135208,0.9507520703406652,0.9910692762804895,1.0,1.0165560038274069,1.0387853258615674,1.053234717576722,1.24410246097828,94029.33333,23
information technology manager,0.7055612864183441,0.8230096556198067,0.8715574209541082,0.9709982417413413,1.0,1.0211313532642559,1.0676806148580298,1.1119199042366639,1.1591977488592808,136852.3333,75
ios developer,0.7977530624040212,0.8455292567229472,0.8988732130529086,0.9691525322793065,1.0,1.025230598208725,1.0542203124917757,1.0917439750666282,1.1707525362304398,109877.33335,36
it developer,0.8029378428199346,0.8571436042995665,0.9134243960388938,0.9678961441302915,1.0,1.0250893970587576,1.0751660174094113,1.1142221314369096,1.2162238293980787,111534.5,84
it support engineer,0.8109938620830219,0.8837640525046279,0.9332242232956148,0.9812888475094705,1.0,1.0477566027994702,1.1091591168060169,1.1426353761999044,1.2343552694651154,81569.0,63
java developer,0.8858541796722368,0.9413624280746367,0.9652030627551382,0.9889612217961714,1.0,1.0145968885731045,1.0478693227162523,1.089076256195846,1.1738754385660102,96493.166665,74
junior data scientist,0.9375846538391395,0.9554176098850997,0.9732505659310597,0.99108352197702,1.0,1.00891647802298,1.0267494340689403,1.0445823901149003,1.0624153461608605,87980.833335,2
junior director of engineering,0.9787855070634712,0.9848467907596223,0.9909080744557733,0.9969693581519244,1.0,1.0030306418480754,1.0090919255442266,1.0151532092403777,1.0212144929365288,108076.66665,2
junior engineer manager,0.8189743339921467,0.8706959528515333,0.92241757171092,0.9741391905703066,1.0,1.0311243813956565,1.09337314418697,1.1556219069782834,1.217870669769597,88976.33333,3
junior senior engineer,0.9627312699959762,0.9733794785685546,0.9840276871411326,0.994675895713711,1.0,1.005200856931576,1.0156025707947278,1.0260042846578799,1.0364059985210319,91956.0,3
junior software engineer,0.8331313439871896,0.8735428800864559,0.9323348224632378,0.9730055263727315,1.0,1.0220870654362564,1.0894856170584828,1.121544118340075,1.3318448270350511,89388.66667,73
machine learning engineer,0.7080680541379353,0.8371707005888254,0.8756204422695166,0.9591540026377529,1.0,1.0441351445937608,1.0853384033831226,1.1718278069404167,1.2414540583516247,119135.5,48
mobile developer,0.780293814833335,0.9258049091902301,0.9608386269160502,0.9854408663536498,1.0,1.0062460483976434,1.051801115382354,1.0947306592677202,1.1580384973401459,103852.3333,33
principal cloud engineer,0.885912206734999,0.9130803868347689,0.9458724154754238,0.9797338052791835,1.0,1.025211814901395,1.1112123946835388,1.2634684806846705,1.4314238822975667,89110.83333,52
