locationjob,location,job,gd_location,gd_job,ps_location,ps_job,indeed_location,indeed_location.1,gd_salary,ps_salary,indeed_salary,gd_date,ps_date,indeed_date,gd_two_date,ps_two_date,indeed_two_date,avg_salary
fairfax virginiachief operating officer,fairfax virginia,chief operating officer,fairfax virginia,chief operating officer,fairfax virginia,chief operating officer,,,187394,341000,,15-Sep-22,,,With two date,,,264197
idahochief technology officer,idaho,chief technology officer,idaho,chief technology officer,,,idaho,chief technology officer,278847,,247533,,,,,,,263190
san mateo californiavice president of engineering,san mateo california,vice president of engineering,san mateo california,vice president of engineering,san mateo california,vice president of engineering,san mateo california,vice president of engineering,222620,225000,341261,,,,,,,262960.3333
dallas texaschief technology officer,dallas texas,chief technology officer,dallas texas,chief technology officer,dallas texas,chief technology officer,dallas texas,chief technology officer,314449,281500,186766,,,13-Apr-23,,,,260905
san francisco californiavice president of engineering,san francisco california,vice president of engineering,san francisco california,vice president of engineering,san francisco california,vice president of engineering,san francisco california,vice president of engineering,308314,254341,217456,,,,,,,260037
raleigh north carolinachief operating officer,raleigh north carolina,chief operating officer,raleigh north carolina,chief operating officer,raleigh north carolina,chief operating officer,raleigh north carolina,chief operating officer,211082,365000,199514,,,,,,,258532
californiavice president of engineering,california,vice president of engineering,california,vice president of engineering,,,california,vice president of engineering,309924,,203975,,,5-Jun-23,,,,256949.5
calgary abvice president of engineering,calgary ab,vice president of engineering,calgary ab,vice president of engineering,,,calgary ab,vice president of engineering,188202,,324773,,,22-May-23,,,,256487.5
south carolinachief technology officer,south carolina,chief technology officer,south carolina,chief technology officer,,,south carolina,chief technology officer,270466,,242347,,,24-Apr-23,,,,256406.5
kansas city missourichief technology officer,kansas city missouri,chief technology officer,kansas city missouri,chief technology officer,kansas city missouri,chief technology officer,kansas city missouri,chief technology officer,376881,190000,200061,,,,,,,255647.3333
denver coloradovice president of engineering,denver colorado,vice president of engineering,denver colorado,vice president of engineering,denver colorado,vice president of engineering,denver colorado,vice president of engineering,338117,210000,214556,,,20-Jul-22,,,With two date,254224.3333
charlotte north carolinachief operating officer,charlotte north carolina,chief operating officer,charlotte north carolina,chief operating officer,charlotte north carolina,chief operating officer,charlotte north carolina,chief operating officer,192766,300123,267755,,,3-Mar-22,,,,253548
san francisco californiachief technology officer,san francisco california,chief technology officer,san francisco california,chief technology officer,san francisco california,chief technology officer,san francisco california,chief technology officer,290274,219669,250515,,,12-Apr-23,,,,253486
nashville tennesseechief operating officer,nashville tennessee,chief operating officer,nashville tennessee,chief operating officer,nashville tennessee,chief operating officer,nashville tennessee,chief operating officer,218163,300000,240129,,,21-Dec-22,,,,252764
austin texassenior web developer,austin texas,senior web developer,austin texas,senior web developer,austin texas,senior web developer,austin texas,senior web developer,177348,111382,458868,,,,,,,249199.3333
palo alto californiadirector of engineering,palo alto california,director of engineering,palo alto california,director of engineering,palo alto california,director of engineering,palo alto california,director of engineering,188571,250000,309000,,,,,,,249190.3333
nashville tennesseevice president of engineering,nashville tennessee,vice president of engineering,nashville tennessee,vice president of engineering,nashville tennessee,vice president of engineering,nashville tennessee,vice president of engineering,239879,217000,288000,,,,,,,248293
phoenix arizonavice president of engineering,phoenix arizona,vice president of engineering,phoenix arizona,vice president of engineering,phoenix arizona,vice president of engineering,phoenix arizona,vice president of engineering,228450,212500,303397,,,5-May-21,,,With two date,248115.6667
santa clara californiasenior vice president of engineering,santa clara california,senior vice president of engineering,santa clara california,senior vice president of engineering,,,santa clara california,senior vice president of engineering,224730,,271156,,,,,,,247943
palm beach gardenschief operating officer,palm beach gardens,chief operating officer,palm beach gardens,chief operating officer,,,,,190047,305209,,,,,,,,247628
san mateo californiachief technology officer,san mateo california,chief technology officer,san mateo california,chief technology officer,san mateo california,chief technology officer,san mateo california,chief technology officer,231813,255000,255928,,,,,,,247580.3333
philadelphia pennsylvaniachief operating officer,philadelphia pennsylvania,chief operating officer,philadelphia pennsylvania,chief operating officer,philadelphia pennsylvania,chief operating officer,philadelphia pennsylvania,chief operating officer,210082,342914,186852,,,20-May-23,,,,246616
