locationjob,location,job,gd_location,gd_job,ps_location,ps_job,indeed_location,indeed_location.1,gd_salary,ps_salary,indeed_salary,gd_date,ps_date,indeed_date,gd_two_date,ps_two_date,indeed_two_date,avg_salary
irving texassenior vice president of engineering,irving texas,senior vice president of engineering,irving texas,senior vice president of engineering,,,irving texas,senior vice president of engineering,222433,,115146,,,,,,,168789.5
illinoisdata scientist,illinois,data scientist,illinois,data scientist,,,illinois,data scientist,93704,,243752,15-Sep-22,,27-May-23,,,,168728
redmond washingtonprincipal software engineer,redmond washington,principal software engineer,redmond washington,principal software engineer,redmond washington,principal software engineer,redmond washington,principal software engineer,168719,181237,156204,,14-Aug-19,1-Jun-23,,,,168720
milpitas californiasenior engineering manager,milpitas california,senior engineering manager,milpitas california,senior engineering manager,milpitas california,senior engineering manager,milpitas california,senior engineering manager,157492,171254,177332,,,24-May-23,,,,168692.6667
tampa floridaengineer manager,tampa florida,engineer manager,tampa florida,engineer manager,tampa florida,engineer manager,tampa florida,engineer manager,191127,157214,157733,,,,,,,168691.3333
sunnyvale californiasenior data scientist,sunnyvale california,senior data scientist,sunnyvale california,senior data scientist,sunnyvale california,senior data scientist,sunnyvale california,senior data scientist,170305,166470,169073,,,,,,,168616
washington district of columbiaprincipal software architect,washington district of columbia,principal software architect,washington district of columbia,principal software architect,washington district of columbia,principal software architect,washington district of columbia,principal software architect,156994,146568,202014,,,10-Jun-23,,,,168525.3333
nebraskachief technology officer,nebraska,chief technology officer,nebraska,chief technology officer,,,nebraska,chief technology officer,268027,,68969,,,1-Apr-23,,,,168498
tennesseedirector of engineering,tennessee,director of engineering,tennessee,director of engineering,,,tennessee,director of engineering,164095,,172774,,,6-Apr-23,,,,168434.5
raleigh-durham north carolinadirector of software engineering,raleigh-durham north carolina,director of software engineering,raleigh-durham north carolina,director of software engineering,raleigh-durham north carolina,director of software engineering,,,186851,150000,,,,,,,,168425.5
kansas city missourivice president of engineering,kansas city missouri,vice president of engineering,kansas city missouri,vice president of engineering,kansas city missouri,vice president of engineering,kansas city missouri,vice president of engineering,201870,166181,137164,,,25-Apr-23,,,With two date,168405
kentuckydirector of engineering,kentucky,director of engineering,kentucky,director of engineering,,,kentucky,director of engineering,162869,,173849,,,6-Jun-23,,,,168359
denver coloradosoftware architect,denver colorado,software architect,denver colorado,software architect,denver colorado,software architect,denver colorado,software architect,163549,150000,191451,,,,,,,168333.3333
baltimore marylanddata scientist,baltimore maryland,data scientist,baltimore maryland,data scientist,baltimore maryland,data scientist,baltimore maryland,data scientist,104820,177317,222860,,,17-Apr-23,,,With two date,168332.3333
alexandria virginiaprincipal software engineer,alexandria virginia,principal software engineer,alexandria virginia,principal software engineer,alexandria virginia,principal software engineer,alexandria virginia,principal software engineer,153131,185995,165832,,,,,,,168319.3333
utahprincipal software architect,utah,principal software architect,utah,principal software architect,,,utah,principal software architect,154739,,181848,,,,,,,168293.5
sunnyvale californiaprincipal software engineer,sunnyvale california,principal software engineer,sunnyvale california,principal software engineer,sunnyvale california,principal software engineer,sunnyvale california,principal software engineer,171198,194752,138832,,,16-Aug-22,,,,168260.6667
sunnyvale californiasoftware engineering manager,sunnyvale california,software engineering manager,sunnyvale california,software engineering manager,sunnyvale california,software engineering manager,sunnyvale california,software engineering manager,167932,198000,138784,,,,,,,168238.6667
pittsburgh pennsylvaniadata scientist,pittsburgh pennsylvania,data scientist,pittsburgh pennsylvania,data scientist,pittsburgh pennsylvania,data scientist,pittsburgh pennsylvania,data scientist,163816,115000,225790,,,13-Jun-23,,,With two date,168202
oklahoma city oklahomadirector of engineering,oklahoma city oklahoma,director of engineering,oklahoma city oklahoma,director of engineering,oklahoma city oklahoma,director of engineering,oklahoma city oklahoma,director of engineering,210179,110000,184323,,,22-Apr-23,,,With two date,168167.3333
knoxville tennesseechief technology officer,knoxville tennessee,chief technology officer,knoxville tennessee,chief technology officer,knoxville tennessee,chief technology officer,knoxville tennessee,chief technology officer,206854,157000,140585,,,27-May-23,,,,168146.3333
houston texassoftware architect,houston texas,software architect,houston texas,software architect,houston texas,software architect,houston texas,software architect,177775,139020,187092,,,17-Feb-23,,,With two date,167962.3333
raleigh north carolinasenior engineer,raleigh north carolina,senior engineer,raleigh north carolina,senior engineer,raleigh north carolina,senior engineer,raleigh north carolina,senior engineer,160166,190000,153699,,30-Jan-19,,,With two date,,167955
wichita kansasvice president of engineering,wichita kansas,vice president of engineering,wichita kansas,vice president of engineering,wichita kansas,vice president of engineering,wichita kansas,vice president of engineering,212873,138484,152378,,,6-Feb-23,,,With two date,167911.6667
colorado springs coloradodirector of engineering,colorado springs colorado,director of engineering,colorado springs colorado,director of engineering,colorado springs colorado,director of engineering,colorado springs colorado,director of engineering,203678,83015,217037,,,31-Mar-23,,,,167910
marylandsenior engineering manager,maryland,senior engineering manager,maryland,senior engineering manager,,,maryland,senior engineering manager,162351,,173455,,,15-Feb-23,,,,167903
honolulu hawaiisenior engineer,honolulu hawaii,senior engineer,honolulu hawaii,senior engineer,honolulu hawaii,senior engineer,honolulu hawaii,senior engineer,220512,170000,113118,,,,,,,167876.6667
dallas texassenior engineering manager,dallas texas,senior engineering manager,dallas texas,senior engineering manager,dallas texas,senior engineering manager,dallas texas,senior engineering manager,153875,149451,200233,,,2-Jul-21,,,,167853
el paso texascio,el paso texas,cio,el paso texas,cio,,,,,170864,164830,,,,,,,,167847
seattle washingtonsenior data scientist,seattle washington,senior data scientist,seattle washington,senior data scientist,seattle washington,senior data scientist,seattle washington,senior data scientist,192967,139690,170834,,,16-May-23,,,,167830.3333
dallas texassenior software architect,dallas texas,senior software architect,dallas texas,senior software architect,,,dallas texas,senior software architect,147734,,187863,,,,,,,167798.5
chicago illinoisprincipal software engineer,chicago illinois,principal software engineer,chicago illinois,principal software engineer,chicago illinois,principal software engineer,chicago illinois,principal software engineer,174892,149833,178670,,,20-Apr-23,,,,167798.3333
phoenix arizonadata scientist,phoenix arizona,data scientist,phoenix arizona,data scientist,phoenix arizona,data scientist,phoenix arizona,data scientist,159054,100800,243405,,,13-Jun-23,,,With two date,167753
burlington massachusettsdirector of engineering,burlington massachusetts,director of engineering,burlington massachusetts,director of engineering,burlington massachusetts,director of engineering,,,165447,170000,,,,,,,,167723.5
massachusettsdirector of engineering,massachusetts,director of engineering,massachusetts,director of engineering,,,massachusetts,director of engineering,178091,114248,210790,,,6-May-23,,,,167709.6667
oregonsenior engineering manager,oregon,senior engineering manager,oregon,senior engineering manager,,,oregon,senior engineering manager,162968,,172439,,,,,,,167703.5
nevadadirector of engineering,nevada,director of engineering,nevada,director of engineering,,,nevada,director of engineering,186242,,149134,,,12-Jan-23,,,,167688
milwaukee wisconsindirector of engineering,milwaukee wisconsin,director of engineering,milwaukee wisconsin,director of engineering,milwaukee wisconsin,director of engineering,milwaukee wisconsin,director of engineering,192164,152187,158648,,,8-Sep-22,,,,167666.3333
new hampshiresenior engineer,new hampshire,senior engineer,new hampshire,senior engineer,,,new hampshire,senior engineer,181367,,153824,,,,,,,167595.5
vancouver bcchief technology officer,vancouver bc,chief technology officer,vancouver bc,chief technology officer,,,vancouver bc,chief technology officer,203174,,132002,,,27-May-23,,,With two date,167588
fremont californiasoftware engineering manager,fremont california,software engineering manager,fremont california,software engineering manager,fremont california,software engineering manager,fremont california,software engineering manager,145145,199974,157422,,,16-Dec-22,,,,167513.6667
melville new yorksenior software engineer,melville new york,senior software engineer,melville new york,senior software engineer,,,melville new york,senior software engineer,136464,,198506,15-Sep-22,,14-Apr-23,With two date,,,167485
orange californiavice president of engineering,orange california,vice president of engineering,orange california,vice president of engineering,orange california,vice president of engineering,,,170688,164235,,,,,,,,167461.5
washington district of columbiaprincipal software engineer,washington district of columbia,principal software engineer,washington district of columbia,principal software engineer,washington district of columbia,principal software engineer,washington district of columbia,principal software engineer,159131,165000,178144,,,14-May-23,,,,167425
californiaprincipal software engineer,california,principal software engineer,california,principal software engineer,,,california,principal software engineer,171190,,163646,,,9-Jun-23,,,,167418
boston massachusettsprincipal software architect,boston massachusetts,principal software architect,boston massachusetts,principal software architect,boston massachusetts,principal software architect,boston massachusetts,principal software architect,166409,164848,170993,,,13-Feb-23,,,With two date,167416.6667
san jose californiaengineer manager,san jose california,engineer manager,san jose california,engineer manager,san jose california,engineer manager,san jose california,engineer manager,189833,167463,144884,,,2-Apr-23,,,,167393.3333
edmonton abdirector of engineering,edmonton ab,director of engineering,edmonton ab,director of engineering,,,edmonton ab,director of engineering,131193,,203570,,,,,,,167381.5
louisville kentuckysenior engineer,louisville kentucky,senior engineer,louisville kentucky,senior engineer,louisville kentucky,senior engineer,louisville kentucky,senior engineer,247017,127743,127280,,,,,,,167346.6667
huntsville alabamaengineer manager,huntsville alabama,engineer manager,huntsville alabama,engineer manager,huntsville alabama,engineer manager,huntsville alabama,engineer manager,145406,205000,151432,,,,,,,167279.3333
louisianadata scientist,louisiana,data scientist,louisiana,data scientist,,,louisiana,data scientist,101078,,233466,,,1-May-23,,,,167272
jersey city new jerseychief technology officer,jersey city new jersey,chief technology officer,jersey city new jersey,chief technology officer,,,jersey city new jersey,chief technology officer,228212,,106326,,,,,,,167269
denver coloradoprincipal software architect,denver colorado,principal software architect,denver colorado,principal software architect,denver colorado,principal software architect,denver colorado,principal software architect,159837,134526,207423,,,25-May-22,,,,167262
missourivice president of engineering,missouri,vice president of engineering,missouri,vice president of engineering,,,missouri,vice president of engineering,162417,,172021,,,,,,,167219
massachusettssenior engineering manager,massachusetts,senior engineering manager,massachusetts,senior engineering manager,,,massachusetts,senior engineering manager,191605,,142740,,,24-May-23,,,,167172.5
redwood city californiaprincipal software engineer,redwood city california,principal software engineer,redwood city california,principal software engineer,redwood city california,principal software engineer,redwood city california,principal software engineer,167394,165890,168166,,,16-Apr-23,,,,167150
redwood city californiasoftware engineer,redwood city california,software engineer,redwood city california,software engineer,redwood city california,software engineer,redwood city california,software engineer,140421,208632,152383,,,19-May-23,,,With two date,167145.3333
memphis tennesseesenior vice president of engineering,memphis tennessee,senior vice president of engineering,memphis tennessee,senior vice president of engineering,,,memphis tennessee,senior vice president of engineering,183955,,150293,,,,,,,167124
nebraskaprincipal software architect,nebraska,principal software architect,nebraska,principal software architect,,,nebraska,principal software architect,134028,,200095,,,,,,,167061.5
new york new yorksenior software engineer,new york new york,senior software engineer,new york new york,senior software engineer,new york new york,senior software engineer,new york new york,senior software engineer,185597,160000,155577,,,11-May-23,,,,167058
georgiadirector of engineering,georgia,director of engineering,georgia,director of engineering,,,georgia,director of engineering,170876,,163225,,,,,,,167050.5
west palm beach floridachief operating officer,west palm beach florida,chief operating officer,west palm beach florida,chief operating officer,west palm beach florida,chief operating officer,west palm beach florida,chief operating officer,203367,185799,111956,,,16-May-22,,,With two date,167040.6667
san mateo californiaengineer manager,san mateo california,engineer manager,san mateo california,engineer manager,san mateo california,engineer manager,san mateo california,engineer manager,197773,129063,174168,,,,,,,167001.3333
texaschief operating officer,texas,chief operating officer,texas,chief operating officer,,,texas,chief operating officer,177764,,156231,,,9-Jun-23,,,,166997.5
san antonio texasdirector of information technology,san antonio texas,director of information technology,san antonio texas,director of information technology,,,san antonio texas,director of information technology,166567,,167409,,,,,,,166988
floridadata scientist,florida,data scientist,florida,data scientist,,,florida,data scientist,102086,,231889,,,13-Jun-23,,,,166987.5
san luis obispo californiachief operating officer,san luis obispo california,chief operating officer,san luis obispo california,chief operating officer,san luis obispo california,chief operating officer,,,190203,143752,,,,,,,,166977.5
omaha nebraskadirector of engineering,omaha nebraska,director of engineering,omaha nebraska,director of engineering,omaha nebraska,director of engineering,omaha nebraska,director of engineering,186586,147458,166858,,,7-Mar-23,,,,166967.3333
rochester new yorkchief technology officer,rochester new york,chief technology officer,rochester new york,chief technology officer,rochester new york,chief technology officer,rochester new york,chief technology officer,214823,158486,127553,,,,,,,166954
buffalo new yorkchief operating officer,buffalo new york,chief operating officer,buffalo new york,chief operating officer,buffalo new york,chief operating officer,buffalo new york,chief operating officer,187736,158150,154925,,,,,,,166937
oregonsenior engineer,oregon,senior engineer,oregon,senior engineer,,,oregon,senior engineer,202451,,131368,,,,,,,166909.5
orlando floridadirector of software engineering,orlando florida,director of software engineering,orlando florida,director of software engineering,orlando florida,director of software engineering,,,170315,163500,,,,,,,,166907.5
portland oregonprincipal software engineer,portland oregon,principal software engineer,portland oregon,principal software engineer,portland oregon,principal software engineer,portland oregon,principal software engineer,167206,156462,176922,,,19-May-23,,,,166863.3333
pittsburgh pennsylvaniaengineer manager,pittsburgh pennsylvania,engineer manager,pittsburgh pennsylvania,engineer manager,pittsburgh pennsylvania,engineer manager,pittsburgh pennsylvania,engineer manager,180738,155000,164784,,,,,,,166840.6667
dayton ohiochief technology officer,dayton ohio,chief technology officer,dayton ohio,chief technology officer,dayton ohio,chief technology officer,dayton ohio,chief technology officer,193742,118500,188279,,,26-Apr-23,,,,166840.3333
georgiachief operating officer,georgia,chief operating officer,georgia,chief operating officer,,,georgia,chief operating officer,181361,,152303,,,3-May-23,,,,166832
fresno californiachief technology officer,fresno california,chief technology officer,fresno california,chief technology officer,fresno california,chief technology officer,fresno california,chief technology officer,210811,122014,167601,,,,,,,166808.6667
new jerseyengineer manager,new jersey,engineer manager,new jersey,engineer manager,,,new jersey,engineer manager,149632,,183892,,,27-May-23,,,,166762
ann arbor michigansoftware architect,ann arbor michigan,software architect,ann arbor michigan,software architect,ann arbor michigan,software architect,ann arbor michigan,software architect,220461,130498,149224,,,,,,,166727.6667
montanadata scientist,montana,data scientist,montana,data scientist,,,montana,data scientist,163441,,169948,,,5-Jun-23,,,,166694.5
los angeles californiasenior information technology manager,los angeles california,senior information technology manager,los angeles california,senior information technology manager,,,los angeles california,senior information technology manager,183372,,150000,,,,,,,166686
frisco texasengineer manager,frisco texas,engineer manager,frisco texas,engineer manager,frisco texas,engineer manager,frisco texas,engineer manager,183563,190000,126209,,,,,,,166590.6667
huntsville alabamaprincipal senior engineer,huntsville alabama,principal senior engineer,huntsville alabama,principal senior engineer,huntsville alabama,principal senior engineer,,,161596,171564,,,,,,,,166580
sacramento californiasoftware engineer,sacramento california,software engineer,sacramento california,software engineer,sacramento california,software engineer,sacramento california,software engineer,138159,185000,176461,,,,,,,166540
arkansassenior engineer,arkansas,senior engineer,arkansas,senior engineer,,,arkansas,senior engineer,200777,,132288,,,,,,,166532.5
houston texassenior data scientist,houston texas,senior data scientist,houston texas,senior data scientist,houston texas,senior data scientist,houston texas,senior data scientist,159642,122619,217096,,,17-Mar-23,,,With two date,166452.3333
marylandchief operating officer,maryland,chief operating officer,maryland,chief operating officer,,,maryland,chief operating officer,191181,,141604,,,,,,,166392.5
birmingham alabamasenior engineer,birmingham alabama,senior engineer,birmingham alabama,senior engineer,birmingham alabama,senior engineer,birmingham alabama,senior engineer,210175,147395,141590,,,,,,,166386.6667
el paso texaschief operating officer,el paso texas,chief operating officer,el paso texas,chief operating officer,el paso texas,chief operating officer,el paso texas,chief operating officer,203881,162500,132512,,,,,,,166297.6667
washington district of columbiasenior engineering manager,washington district of columbia,senior engineering manager,washington district of columbia,senior engineering manager,washington district of columbia,senior engineering manager,washington district of columbia,senior engineering manager,185227,150752,162780,,,,,,,166253
cupertino californiasenior software engineer,cupertino california,senior software engineer,cupertino california,senior software engineer,cupertino california,senior software engineer,cupertino california,senior software engineer,141813,190000,166779,,,,,,,166197.3333
madison wisconsinvice president of engineering,madison wisconsin,vice president of engineering,madison wisconsin,vice president of engineering,madison wisconsin,vice president of engineering,madison wisconsin,vice president of engineering,217540,169500,111522,,,7-May-23,,,,166187.3333
californiaengineer manager,california,engineer manager,california,engineer manager,,,california,engineer manager,168407,,163903,,,15-Jun-23,,,,166155
hartford connecticutengineer manager,hartford connecticut,engineer manager,hartford connecticut,engineer manager,hartford connecticut,engineer manager,hartford connecticut,engineer manager,161443,159000,178014,,,21-Apr-23,,,,166152.3333
alexandria virginiadirector of engineering,alexandria virginia,director of engineering,alexandria virginia,director of engineering,alexandria virginia,director of engineering,alexandria virginia,director of engineering,128518,167500,202414,,,,,,,166144
iowadata engineer,iowa,data engineer,iowa,data engineer,,,iowa,data engineer,82958,,249177,,,13-Jun-23,,,,166067.5
nashville tennesseedirector of software engineering,nashville tennessee,director of software engineering,nashville tennessee,director of software engineering,nashville tennessee,director of software engineering,,,169646,162462,,,,,,,,166054
mountain view californiachief technology officer,mountain view california,chief technology officer,mountain view california,chief technology officer,mountain view california,chief technology officer,mountain view california,chief technology officer,152402,184865,160891,,,,,,,166052.6667
norfolk virginiavice president of engineering,norfolk virginia,vice president of engineering,norfolk virginia,vice president of engineering,norfolk virginia,vice president of engineering,norfolk virginia,vice president of engineering,208888,165709,123413,,,,,,,166003.3333
indianachief operating officer,indiana,chief operating officer,indiana,chief operating officer,,,indiana,chief operating officer,188377,,143594,,,,,,,165985.5
des moines iowadata scientist,des moines iowa,data scientist,des moines iowa,data scientist,des moines iowa,data scientist,des moines iowa,data scientist,108587,114000,275335,,,19-Oct-22,,,,165974
san antonio texassenior engineering manager,san antonio texas,senior engineering manager,san antonio texas,senior engineering manager,san antonio texas,senior engineering manager,san antonio texas,senior engineering manager,152986,135194,209716,,,,,,,165965.3333
charlotte north carolinadirector of information technology,charlotte north carolina,director of information technology,charlotte north carolina,director of information technology,,,charlotte north carolina,director of information technology,174539,,157326,,,26-Apr-23,,,,165932.5
new hampshiresoftware engineering manager,new hampshire,software engineering manager,new hampshire,software engineering manager,,,new hampshire,software engineering manager,135188,,196601,,,,,,,165894.5
scottsdale arizonasenior engineer,scottsdale arizona,senior engineer,scottsdale arizona,senior engineer,scottsdale arizona,senior engineer,scottsdale arizona,senior engineer,223648,132500,141270,,,,,,,165806
beaverton oregonprincipal software engineer,beaverton oregon,principal software engineer,beaverton oregon,principal software engineer,beaverton oregon,principal software engineer,beaverton oregon,principal software engineer,157144,158233,181988,,,,,,,165788.3333
boston massachusettsdirector of software engineering,boston massachusetts,director of software engineering,boston massachusetts,director of software engineering,boston massachusetts,director of software engineering,,,175742,155831,,,,,,,,165786.5
birmingham alabamachief operating officer,birmingham alabama,chief operating officer,birmingham alabama,chief operating officer,birmingham alabama,chief operating officer,birmingham alabama,chief operating officer,186268,193349,117633,,,,,,,165750
san diego californiasoftware architect,san diego california,software architect,san diego california,software architect,san diego california,software architect,san diego california,software architect,158760,147395,191094,,,20-Jan-21,,,With two date,165749.6667
irvine californiaprincipal software engineer,irvine california,principal software engineer,irvine california,principal software engineer,irvine california,principal software engineer,irvine california,principal software engineer,153619,175437,168121,15-Sep-22,,,With two date,,,165725.6667
portland oregonprincipal software architect,portland oregon,principal software architect,portland oregon,principal software architect,portland oregon,principal software architect,portland oregon,principal software architect,163189,167164,166710,15-Sep-22,,,,,,165687.6667
eugene oregonvice president of engineering,eugene oregon,vice president of engineering,eugene oregon,vice president of engineering,eugene oregon,vice president of engineering,,,211291,120000,,,,,,,,165645.5
nevadasenior engineer,nevada,senior engineer,nevada,senior engineer,,,nevada,senior engineer,215584,,115637,,,,,,,165610.5
south dakotadata scientist,south dakota,data scientist,south dakota,data scientist,,,south dakota,data scientist,107581,,223579,,,27-May-23,,,With two date,165580
minnesotaprincipal engineer manager,minnesota,principal engineer manager,minnesota,principal engineer manager,,,minnesota,principal engineer manager,140779,,190356,,,,,,,165567.5
bellevue washingtonprincipal software engineer,bellevue washington,principal software engineer,bellevue washington,principal software engineer,bellevue washington,principal software engineer,bellevue washington,principal software engineer,171918,161163,163571,,,,,,,165550.6667
seattle washingtonprincipal senior data scientist,seattle washington,principal senior data scientist,seattle washington,principal senior data scientist,,,seattle washington,principal senior data scientist,170821,,160200,,,,,,,165510.5
las vegas nevadadirector of engineering,las vegas nevada,director of engineering,las vegas nevada,director of engineering,las vegas nevada,director of engineering,las vegas nevada,director of engineering,198443,142405,155645,,,,,,,165497.6667
irvine californiasenior solutions architect,irvine california,senior solutions architect,irvine california,senior solutions architect,irvine california,senior solutions architect,,,132652,198314,,,,,,,,165483
delawaredata scientist,delaware,data scientist,delaware,data scientist,,,delaware,data scientist,95618,,235340,15-Sep-22,,16-Apr-23,,,,165479
lubbock texasvice president of engineering,lubbock texas,vice president of engineering,lubbock texas,vice president of engineering,lubbock texas,vice president of engineering,,,210883,120000,,,,,,,,165441.5
cupertino californiaengineer manager,cupertino california,engineer manager,cupertino california,engineer manager,cupertino california,engineer manager,cupertino california,engineer manager,140751,162154,193356,,,,,,,165420.3333
minnesotadirector of engineering,minnesota,director of engineering,minnesota,director of engineering,,,minnesota,director of engineering,174015,,156735,,,12-May-23,,,,165375
mountain view californiaengineer manager,mountain view california,engineer manager,mountain view california,engineer manager,mountain view california,engineer manager,mountain view california,engineer manager,173852,155985,166271,,,9-May-23,,,,165369.3333
cary north carolinadirector of software engineering,cary north carolina,director of software engineering,cary north carolina,director of software engineering,cary north carolina,director of software engineering,,,166237,164426,,,,,,,,165331.5
los angeles californiasenior software engineer,los angeles california,senior software engineer,los angeles california,senior software engineer,los angeles california,senior software engineer,los angeles california,senior software engineer,184107,153766,158083,,,27-May-23,,,,165318.6667
new brunswicksenior engineer,new brunswick,senior engineer,new brunswick,senior engineer,,,new brunswick,senior engineer,216166,,114280,,,4-Oct-22,,,,165223
tucson arizonaprincipal senior engineer,tucson arizona,principal senior engineer,tucson arizona,principal senior engineer,tucson arizona,principal senior engineer,,,159944,170500,,15-Sep-22,,,With two date,,,165222
san jose californiasoftware architect,san jose california,software architect,san jose california,software architect,san jose california,software architect,san jose california,software architect,184983,155000,155557,,,,,,,165180
detroit michiganprincipal information technology manager,detroit michigan,principal information technology manager,detroit michigan,principal information technology manager,detroit michigan,principal information technology manager,,,142792,187467,,,,,,,,165129.5
hawaiisenior engineer,hawaii,senior engineer,hawaii,senior engineer,,,hawaii,senior engineer,209367,,120823,,,26-Apr-23,,,,165095
denver coloradoprincipal engineer manager,denver colorado,principal engineer manager,denver colorado,principal engineer manager,denver colorado,principal engineer manager,denver colorado,principal engineer manager,153383,179352,162500,,,,,,,165078.3333
houston texassenior engineering manager,houston texas,senior engineering manager,houston texas,senior engineering manager,houston texas,senior engineering manager,houston texas,senior engineering manager,168742,152128,174208,,,,,,,165026
irvine californiaprincipal software architect,irvine california,principal software architect,irvine california,principal software architect,irvine california,principal software architect,irvine california,principal software architect,154723,165000,175304,,,,,,,165009
washington district of columbiaprincipal senior engineer,washington district of columbia,principal senior engineer,washington district of columbia,principal senior engineer,washington district of columbia,principal senior engineer,washington district of columbia,principal senior engineer,146771,191827,156412,,,,,,,165003.3333
milpitas californiasenior software engineer,milpitas california,senior software engineer,milpitas california,senior software engineer,milpitas california,senior software engineer,milpitas california,senior software engineer,164230,168120,162101,,,,,,,164817
connecticutprincipal software architect,connecticut,principal software architect,connecticut,principal software architect,,,connecticut,principal software architect,148787,,180839,,,10-May-23,,,With two date,164813
atlanta georgiaprincipal data scientist,atlanta georgia,principal data scientist,atlanta georgia,principal data scientist,atlanta georgia,principal data scientist,atlanta georgia,principal data scientist,146087,142473,205800,,,,,,,164786.6667
alaskasenior engineer,alaska,senior engineer,alaska,senior engineer,,,alaska,senior engineer,213104,,116469,,,,,,,164786.5
pittsburgh pennsylvaniaprincipal senior engineer,pittsburgh pennsylvania,principal senior engineer,pittsburgh pennsylvania,principal senior engineer,pittsburgh pennsylvania,principal senior engineer,,,161242,168262,,,,,,,,164752
richmond virginiadirector of engineering,richmond virginia,director of engineering,richmond virginia,director of engineering,richmond virginia,director of engineering,richmond virginia,director of engineering,171745,120000,202422,,,28-Mar-23,,,,164722.3333
kentuckysenior engineer,kentucky,senior engineer,kentucky,senior engineer,,,kentucky,senior engineer,206728,,122662,,,11-Jan-23,,,,164695
austin texassenior engineering manager,austin texas,senior engineering manager,austin texas,senior engineering manager,austin texas,senior engineering manager,austin texas,senior engineering manager,182970,162510,148586,,,9-May-23,,,,164688.6667
cary north carolinavice president of engineering,cary north carolina,vice president of engineering,cary north carolina,vice president of engineering,,,cary north carolina,vice president of engineering,197493,,131865,,,23-May-23,,,With two date,164679
palo alto californiadata scientist,palo alto california,data scientist,palo alto california,data scientist,palo alto california,data scientist,palo alto california,data scientist,170583,160000,163228,,,9-Jun-23,,,With two date,164603.6667
jersey city new jerseyprincipal software engineer,jersey city new jersey,principal software engineer,jersey city new jersey,principal software engineer,jersey city new jersey,principal software engineer,jersey city new jersey,principal software engineer,173397,160000,160304,15-Sep-22,,,,,,164567
georgiaprincipal software architect,georgia,principal software architect,georgia,principal software architect,,,georgia,principal software architect,151032,,178082,,,,,,,164557
spokane washingtondirector of engineering,spokane washington,director of engineering,spokane washington,director of engineering,spokane washington,director of engineering,spokane washington,director of engineering,169642,137569,186273,,,,,,,164494.6667
fremont californiaprincipal senior engineer,fremont california,principal senior engineer,fremont california,principal senior engineer,fremont california,principal senior engineer,,,157767,171221,,,,,,,,164494
el paso texasvice president of engineering,el paso texas,vice president of engineering,el paso texas,vice president of engineering,el paso texas,vice president of engineering,el paso texas,vice president of engineering,235890,143750,113791,,,10-Mar-23,,,,164477
columbus ohiodirector of engineering,columbus ohio,director of engineering,columbus ohio,director of engineering,columbus ohio,director of engineering,columbus ohio,director of engineering,187640,142250,163289,,,24-Jan-23,,,,164393
san mateo californiasoftware engineering manager,san mateo california,software engineering manager,san mateo california,software engineering manager,san mateo california,software engineering manager,san mateo california,software engineering manager,172105,183539,137407,,,,,,,164350.3333
puerto ricochief operating officer,puerto rico,chief operating officer,puerto rico,chief operating officer,puerto rico,chief operating officer,puerto rico,chief operating officer,200699,150000,142302,,,1-Dec-22,,,,164333.6667
washington district of columbiaapplication developer,washington district of columbia,application developer,washington district of columbia,application developer,,,washington district of columbia,application developer,113745,,214748,,,13-May-22,,,,164246.5
dallas texasdirector of information technology,dallas texas,director of information technology,dallas texas,director of information technology,dallas texas,director of information technology,dallas texas,director of information technology,169619,140541,182536,,30-Mar-23,,,,,164232
mountain view californiaprincipal software architect,mountain view california,principal software architect,mountain view california,principal software architect,mountain view california,principal software architect,,,163834,164602,,,,,,,,164218
idahochief operating officer,idaho,chief operating officer,idaho,chief operating officer,,,idaho,chief operating officer,186516,,141912,,,27-Jan-23,,,With two date,164214
st. louis missouriprincipal software engineering manager,st. louis missouri,principal software engineering manager,st. louis missouri,principal software engineering manager,,,,,149897,119992,222736,,,,,,,164208.3333
boulder coloradoprincipal software architect,boulder colorado,principal software architect,boulder colorado,principal software architect,boulder colorado,principal software architect,,,163531,164800,,,,,,,,164165.5
huntsville alabamachief technology officer,huntsville alabama,chief technology officer,huntsville alabama,chief technology officer,huntsville alabama,chief technology officer,huntsville alabama,chief technology officer,229008,141156,122217,,,,,,,164127
tulsa oklahomasenior engineer,tulsa oklahoma,senior engineer,tulsa oklahoma,senior engineer,tulsa oklahoma,senior engineer,tulsa oklahoma,senior engineer,230652,149952,111396,,,24-Apr-23,,,With two date,164000
tucson arizonaengineer manager,tucson arizona,engineer manager,tucson arizona,engineer manager,tucson arizona,engineer manager,tucson arizona,engineer manager,188062,136500,167413,,,1-Jun-22,,,,163991.6667
new mexicodata scientist,new mexico,data scientist,new mexico,data scientist,,,new mexico,data scientist,102183,,225683,,,28-Apr-23,,,,163933
oklahoma city oklahomachief operating officer,oklahoma city oklahoma,chief operating officer,oklahoma city oklahoma,chief operating officer,oklahoma city oklahoma,chief operating officer,oklahoma city oklahoma,chief operating officer,208929,175000,107809,,,13-Oct-22,,,,163912.6667
boulder coloradosoftware engineering manager,boulder colorado,software engineering manager,boulder colorado,software engineering manager,boulder colorado,software engineering manager,,,160200,167620,,,,,,,,163910
boulder coloradoprincipal senior engineer,boulder colorado,principal senior engineer,boulder colorado,principal senior engineer,boulder colorado,principal senior engineer,,,165003,162815,,,,,,,,163909
