locationjob,date,location,job,salary,two_date
fort lauderdale floridasenior engineer,,fort lauderdale florida,senior engineer,"804,865",
manitobaengineer manager,,manitoba,engineer manager,"800,000",
new york new yorkoptometrist,8-Jun-23,new york new york,optometrist,"730,463",With two date
bellevue washingtonsenior engineer,,bellevue washington,senior engineer,"646,939",
philadelphia pennsylvaniaoptometrist,12-Jun-23,philadelphia pennsylvania,optometrist,"646,387",
british columbiaophthalmologist,21-Feb-23,british columbia,ophthalmologist,"600,000",
sacramento californiacardiology physician,,sacramento california,cardiology physician,"599,808",
grand rapids michiganoptometrist,9-Aug-22,grand rapids michigan,optometrist,"580,587",
alabamaanesthesiologist,7-Dec-22,alabama,anesthesiologist,"572,013",
santa clara californiaoptometrist,,santa clara california,optometrist,"569,932",
bronx new yorkanesthesiologist,,bronx new york,anesthesiologist,"569,625",
seattle washingtonurgent care physician,27-May-23,seattle washington,urgent care physician,"563,947",
iowaanesthesiologist,24-Oct-22,iowa,anesthesiologist,"556,861",With two date
louisville kentuckyanesthesiologist,26-Jan-23,louisville kentucky,anesthesiologist,"556,861",With two date
new hampshireanesthesiologist,7-Dec-22,new hampshire,anesthesiologist,"556,861",
sacramento californiaanesthesiologist,14-May-23,sacramento california,anesthesiologist,"556,429",
idahoanesthesiologist,8-Dec-22,idaho,anesthesiologist,"555,497",
michiganoptometrist,11-Jun-23,michigan,optometrist,"554,205",
irving texassenior engineer,23-May-22,irving texas,senior engineer,"545,721",
chicago illinoisoptometrist,,chicago illinois,optometrist,"537,180",
california city californiaoptometrist,10-Mar-21,california city california,optometrist,"529,540",With two date
coloradoanesthesiologist,25-May-23,colorado,anesthesiologist,"528,686",
tennesseeneurosurgeon,23-Apr-22,tennessee,neurosurgeon,"524,073",
north dakotapediatric hospitalist,,north dakota,pediatric hospitalist,"522,170",
utahpediatric hospitalist,31-Jul-21,utah,pediatric hospitalist,"522,170",
huntsville alabamaphysician,13-Sep-22,huntsville alabama,physician,"521,668",With two date
fort worth texasanesthesiologist,16-Sep-22,fort worth texas,anesthesiologist,"520,723",
oklahomaanesthesiologist,6-Jun-23,oklahoma,anesthesiologist,"516,655",
san diego californiaoptometrist,11-Jun-23,san diego california,optometrist,"515,744",
canadaophthalmologist,14-Jun-23,canada,ophthalmologist,"513,165",With two date
saskatchewanobstetrics and gynecology physician,6-Jun-23,saskatchewan,obstetrics and gynecology physician,"503,023",
memphis tennesseegastroenterologist,10-May-23,memphis tennessee,gastroenterologist,"500,000",With two date
prince edward islandengineer manager,,prince edward island,engineer manager,"500,000",
tennesseeanesthesiologist,3-Jun-23,tennessee,anesthesiologist,"498,991",
denver coloradoanesthesiologist,25-Apr-23,denver colorado,anesthesiologist,"498,911",
british columbiasurgeon,8-Jun-23,british columbia,surgeon,"494,804",
indianaoptometrist,16-Apr-23,indiana,optometrist,"494,420",
new mexicoanesthesiologist,24-Apr-23,new mexico,anesthesiologist,"494,418",
salt lake city utahplastic surgeon,2-Mar-23,salt lake city utah,plastic surgeon,"493,464",
kentuckyoncologist,5-Feb-23,kentucky,oncologist,"491,093",With two date
saskatchewanophthalmologist,23-Apr-23,saskatchewan,ophthalmologist,"490,290",
new brunswickradiologist,,new brunswick,radiologist,"490,290",
indianaanesthesiologist,22-May-23,indiana,anesthesiologist,"484,621",
arkansasoptometrist,10-Jun-23,arkansas,optometrist,"483,390",
washingtonanesthesiologist,12-Jun-23,washington,anesthesiologist,"481,288",
tallahassee floridaanesthesiologist,12-Mar-22,tallahassee florida,anesthesiologist,"480,158",
maineoncologist,13-May-22,maine,oncologist,"478,143",
fort wayne indianaoptometrist,5-May-23,fort wayne indiana,optometrist,"477,721",With two date
san antonio texasoptometrist,28-Apr-23,san antonio texas,optometrist,"475,005",
baton rouge louisianaoptometrist,3-May-23,baton rouge louisiana,optometrist,"474,433",With two date
tucson arizonadermatologist,7-Feb-22,tucson arizona,dermatologist,"474,343",
boston massachusettshospitalist,30-Mar-23,boston massachusetts,hospitalist,"470,243",
tucson arizonavascular surgeon,20-Jun-20,tucson arizona,vascular surgeon,"467,156",
vancouver washingtonplastic surgeon,,vancouver washington,plastic surgeon,"466,625",
atlanta georgiachief operating officer,16-Sep-21,atlanta georgia,chief operating officer,"466,577",With two date
georgianeurosurgeon,1-Dec-20,georgia,neurosurgeon,"465,000",
san antonio texasanesthesiologist,2-May-23,san antonio texas,anesthesiologist,"464,055",With two date
washington district of columbiaanesthesiologist,2-Jun-23,washington district of columbia,anesthesiologist,"461,994",With two date
virginiaanesthesiologist,4-Feb-23,virginia,anesthesiologist,"461,982",
phoenix arizonaurgent care physician,25-Apr-23,phoenix arizona,urgent care physician,"459,254",
austin texassenior web developer,,austin texas,senior web developer,"458,868",
marylandanesthesiologist,13-Jun-23,maryland,anesthesiologist,"455,086",With two date
los angeles californiaendocrinologist,8-Jun-23,los angeles california,endocrinologist,"454,751",With two date
michigananesthesiologist,6-Jun-23,michigan,anesthesiologist,"451,605",With two date
saskatchewananesthesiologist,23-Apr-23,saskatchewan,anesthesiologist,"450,762",
buffalo new yorkdermatologist,10-Mar-23,buffalo new york,dermatologist,"450,329",With two date
cleveland ohiooncologist,3-Apr-23,cleveland ohio,oncologist,"450,000",With two date
puerto ricogastroenterologist,,puerto rico,gastroenterologist,"450,000",
new hampshireoptometrist,11-May-23,new hampshire,optometrist,"448,862",With two date
utahoptometrist,10-Jun-23,utah,optometrist,"448,284",With two date
minnesotadermatologist,8-Sep-22,minnesota,dermatologist,"447,248",
des moines iowasurgeon,30-May-23,des moines iowa,surgeon,"447,248",
toronto ontarioorthopedist,6-Jun-23,toronto ontario,orthopedist,"447,248",With two date
spokane washingtonoptometrist,5-Jun-23,spokane washington,optometrist,"446,064",
phoenix arizonaoptometrist,12-Jun-23,phoenix arizona,optometrist,"445,813",With two date
cambridge massachusettsengineer manager,,cambridge massachusetts,engineer manager,"445,203",
denver coloradooncologist,25-Dec-20,denver colorado,oncologist,"445,060",
michiganoncologist,27-May-23,michigan,oncologist,"443,050",
north dakotahospitalist,24-May-23,north dakota,hospitalist,"442,640",
greenville north carolinaclinical psychologist,,greenville north carolina,clinical psychologist,"442,440",
dayton ohiohospitalist,18-Oct-22,dayton ohio,hospitalist,"442,225",With two date
new hampshirehospitalist,16-Jul-22,new hampshire,hospitalist,"441,919",
californiaanesthesiologist,15-Jun-23,california,anesthesiologist,"439,729",
british columbiacardiology physician,16-May-23,british columbia,cardiology physician,"437,450",
wisconsinneurologist,21-Apr-23,wisconsin,neurologist,"437,197",
ann arbor michiganradiologist,,ann arbor michigan,radiologist,"436,958",
saskatchewanpediatrician,11-Jun-23,saskatchewan,pediatrician,"436,123",
montanaanesthesiologist,,montana,anesthesiologist,"435,123",
plano texasanesthesiologist,2-Jul-19,plano texas,anesthesiologist,"434,496",
el paso texasanesthesiologist,,el paso texas,anesthesiologist,"431,812",
edmonton absurgeon,13-Apr-23,edmonton ab,surgeon,"431,381",
arizonaplastic surgeon,18-May-23,arizona,plastic surgeon,"430,792",
bellevue washingtonfamily medicine physician,9-Jun-23,bellevue washington,family medicine physician,"429,070",
canadaorthodontist,10-Jun-23,canada,orthodontist,"428,840",
knoxville tennesseehospitalist,9-Dec-22,knoxville tennessee,hospitalist,"428,032",
british columbiaorthodontist,10-Jun-23,british columbia,orthodontist,"426,529",
albertaorthodontist,17-May-23,alberta,orthodontist,"426,529",
philadelphia pennsylvanianocturnist,27-Jul-22,philadelphia pennsylvania,nocturnist,"426,050",
arkansasoncologist,11-May-22,arkansas,oncologist,"424,449",
arizonamanagement consultant,14-Apr-23,arizona,management consultant,"423,719",
georgiaoptometrist,13-Jun-23,georgia,optometrist,"423,681",
west virginiaoncologist,3-Jul-22,west virginia,oncologist,"422,811",
jersey city new jerseypsychiatrist,2-Mar-22,jersey city new jersey,psychiatrist,"422,280",
orlando floridaoptometrist,18-Apr-23,orlando florida,optometrist,"421,859",With two date
atlanta georgiacardiology physician,4-Feb-23,atlanta georgia,cardiology physician,"421,098",With two date
edmonton aborthodontist,17-May-23,edmonton ab,orthodontist,"419,787",
salt lake city utahanesthesiologist,1-Apr-20,salt lake city utah,anesthesiologist,"417,791",
rhode islandoptometrist,,rhode island,optometrist,"416,156",
puerto ricoophthalmologist,27-Nov-22,puerto rico,ophthalmologist,"415,128",
mainesurgeon,30-Dec-22,maine,surgeon,"415,070",
new york new yorknocturnist,,new york new york,nocturnist,"414,970",
lincoln nebraskaoptometrist,10-Jun-23,lincoln nebraska,optometrist,"414,243",
kansas city missourisurgeon,24-Nov-22,kansas city missouri,surgeon,"413,359",With two date
new york new yorkanesthesiologist,13-Jun-23,new york new york,anesthesiologist,"411,348",With two date
illinoisanesthesiologist,9-May-23,illinois,anesthesiologist,"410,962",
san francisco californiafamily medicine physician,26-Apr-23,san francisco california,family medicine physician,"410,346",With two date
louisianaoptometrist,22-May-23,louisiana,optometrist,"409,362",With two date
bellevue washingtonoptometrist,26-May-23,bellevue washington,optometrist,"408,671",With two date
los angeles californiatax partner,27-May-23,los angeles california,tax partner,"408,351",With two date
minnesotahospitalist,27-May-23,minnesota,hospitalist,"407,718",
queens new yorkanesthesiologist,20-Sep-22,queens new york,anesthesiologist,"407,431",
mainepsychiatrist,5-Jun-23,maine,psychiatrist,"406,278",
reno nevadaneurosurgeon,,reno nevada,neurosurgeon,"406,000",
west virginiaoptometrist,15-May-23,west virginia,optometrist,"405,560",
washington district of columbiamidwife,29-Mar-23,washington district of columbia,midwife,"404,380",
iowagastroenterologist,16-Feb-23,iowa,gastroenterologist,"404,378",With two date
manitobaanesthesiologist,4-Oct-22,manitoba,anesthesiologist,"404,348",With two date
connecticutanesthesiologist,9-Jun-23,connecticut,anesthesiologist,"404,115",With two date
chicago illinoisanesthesiologist,7-Jun-23,chicago illinois,anesthesiologist,"403,930",With two date
arizonarheumatologist,31-Jan-23,arizona,rheumatologist,"403,645",
south carolinaanesthesiologist,13-Jun-23,south carolina,anesthesiologist,"401,539",
boise idahochief technology officer,2-Aug-22,boise idaho,chief technology officer,"401,332",
ohiohospitalist,9-Jun-23,ohio,hospitalist,"400,650",
british columbiaemergency medicine physician,27-May-23,british columbia,emergency medicine physician,"400,247",
virginia beach virginiasurgeon,,virginia beach virginia,surgeon,"400,000",
british columbiaorthopedist,10-Mar-23,british columbia,orthopedist,"400,000",
british columbiagastroenterologist,,british columbia,gastroenterologist,"400,000",
portland oregonperiodontist,17-Mar-23,portland oregon,periodontist,"400,000",
ann arbor michigancardiology physician,,ann arbor michigan,cardiology physician,"399,938",
charleston south carolinadermatologist,5-Aug-21,charleston south carolina,dermatologist,"399,875",
lexington kentuckyneurologist,14-Feb-23,lexington kentucky,neurologist,"399,221",With two date
nova scotiaobstetrics and gynecology physician,8-May-23,nova scotia,obstetrics and gynecology physician,"398,794",
utahhospitalist,31-Mar-23,utah,hospitalist,"398,723",
bronx new yorkradiologist,15-Jun-23,bronx new york,radiologist,"398,206",
albertaobstetrics and gynecology physician,18-May-23,alberta,obstetrics and gynecology physician,"396,911",
missourihospitalist,23-May-23,missouri,hospitalist,"395,537",
madison wisconsinfamily medicine physician,21-Apr-23,madison wisconsin,family medicine physician,"393,115",
fresno californiaradiologist,14-Dec-22,fresno california,radiologist,"392,986",With two date
spokane washingtononcologist,25-Apr-23,spokane washington,oncologist,"392,814",With two date
ottawa ontariocardiology physician,22-Apr-23,ottawa ontario,cardiology physician,"392,647",With two date
hawaiianesthesiologist,6-Oct-22,hawaii,anesthesiologist,"392,025",
toronto ontariooptometrist,13-Jun-23,toronto ontario,optometrist,"391,553",
south dakotafamily medicine physician,27-May-23,south dakota,family medicine physician,"391,187",With two date
alaskahospitalist,13-Mar-23,alaska,hospitalist,"390,814",With two date
pennsylvaniaanesthesiologist,11-Jun-23,pennsylvania,anesthesiologist,"390,598",
tennesseecardiology physician,,tennessee,cardiology physician,"390,484",
san diego californiahospitalist,2-Mar-23,san diego california,hospitalist,"389,981",With two date
milwaukee wisconsinanesthesiologist,19-Mar-22,milwaukee wisconsin,anesthesiologist,"389,852",With two date
new jerseyperfusionist,3-Sep-22,new jersey,perfusionist,"389,321",With two date
washington district of columbiadermatologist,16-Oct-22,washington district of columbia,dermatologist,"388,870",
pittsburgh pennsylvaniahospitalist,4-Feb-23,pittsburgh pennsylvania,hospitalist,"388,646",With two date
albuquerque new mexicooptometrist,24-May-23,albuquerque new mexico,optometrist,"388,434",
boston massachusettsanesthesiologist,20-Apr-23,boston massachusetts,anesthesiologist,"388,173",
brooklyn new yorkanesthesiologist,1-Jun-23,brooklyn new york,anesthesiologist,"387,996",
south carolinahospitalist,23-May-23,south carolina,hospitalist,"387,618",With two date
new brunswicksurgeon,11-Dec-22,new brunswick,surgeon,"387,299",With two date
british columbiaanesthesiologist,8-Jun-23,british columbia,anesthesiologist,"387,032",With two date
iowapsychiatrist,3-Jun-23,iowa,psychiatrist,"386,908",With two date
new yorkanesthesiologist,9-Jun-23,new york,anesthesiologist,"386,857",With two date
british columbiaendocrinologist,,british columbia,endocrinologist,"386,160",
stpediatric hospitalist,25-Apr-23,st,pediatric hospitalist,"385,792",
seattle washingtonanesthesiologist,12-Jun-23,seattle washington,anesthesiologist,"385,089",With two date
phoenix arizonaanesthesiologist,26-May-23,phoenix arizona,anesthesiologist,"384,852",With two date
georgiaurologist,,georgia,urologist,"383,196",
milwaukee wisconsinoptometrist,3-May-23,milwaukee wisconsin,optometrist,"382,885",With two date
connecticutoptometrist,14-Jun-23,connecticut,optometrist,"382,089",
jacksonville floridaoptometrist,6-Jun-23,jacksonville florida,optometrist,"381,681",With two date
delawarepsychiatrist,20-Apr-23,delaware,psychiatrist,"380,826",
pennsylvaniahospitalist,25-Apr-23,pennsylvania,hospitalist,"380,044",
washington district of columbiaeducational consultant,24-Apr-23,washington district of columbia,educational consultant,"379,855",
georgiahospitalist,9-Jun-23,georgia,hospitalist,"379,699",
massachusettsoptometrist,12-Jun-23,massachusetts,optometrist,"379,202",
los angeles californiaanesthesiologist,26-May-23,los angeles california,anesthesiologist,"378,283",
philadelphia pennsylvaniadermatologist,,philadelphia pennsylvania,dermatologist,"377,610",
mississippiphysician,13-Jun-23,mississippi,physician,"376,815",
louisianacardiology physician,12-Jun-23,louisiana,cardiology physician,"376,699",
north carolinaanesthesiologist,13-Jun-23,north carolina,anesthesiologist,"376,497",
rhode islandpsychiatrist,24-Apr-23,rhode island,psychiatrist,"375,734",
hollywood californiachief technology officer,,hollywood california,chief technology officer,"374,169",
kansas city missouripsychiatrist,30-Mar-23,kansas city missouri,psychiatrist,"373,135",With two date
saskatchewanpsychiatrist,6-Jun-23,saskatchewan,psychiatrist,"372,966",
brooklyn new yorkdermatologist,6-Jun-23,brooklyn new york,dermatologist,"372,479",
mississippianesthesiologist,8-Apr-22,mississippi,anesthesiologist,"372,086",
washingtonneurosurgeon,30-Mar-23,washington,neurosurgeon,"371,991",With two date
indianahospitalist,30-Apr-23,indiana,hospitalist,"370,781",
des moines iowapsychiatrist,,des moines iowa,psychiatrist,"369,882",
north carolinanocturnist,2-Jun-23,north carolina,nocturnist,"369,550",With two date
alabamahospitalist,8-Jun-23,alabama,hospitalist,"369,461",
norfolk virginiacardiology physician,,norfolk virginia,cardiology physician,"368,000",
seattle washingtonhospitalist,,seattle washington,hospitalist,"367,640",
nashville tennesseehospitalist,13-Jun-23,nashville tennessee,hospitalist,"366,828",With two date
long island new yorkanesthesiologist,,long island new york,anesthesiologist,"365,845",
saskatchewanoncologist,22-May-23,saskatchewan,oncologist,"365,779",
spokane washingtonchief technology officer,,spokane washington,chief technology officer,"364,582",
new hampshirepsychiatrist,,new hampshire,psychiatrist,"363,996",
nova scotiaanesthesiologist,5-Jun-23,nova scotia,anesthesiologist,"363,808",
ontario californiaradiologist,15-Jun-23,ontario california,radiologist,"363,778",
miami floridaoptometrist,14-Jun-23,miami florida,optometrist,"363,509",With two date
kansasoptometrist,,kansas,optometrist,"363,007",
wisconsindermatologist,29-Jun-21,wisconsin,dermatologist,"362,882",
mississippi mississippipsychologist,,mississippi mississippi,psychologist,"362,756",
puerto ricoanesthesiologist,26-Oct-22,puerto rico,anesthesiologist,"362,546",
canadadermatologist,3-Jun-23,canada,dermatologist,"362,016",
connecticuthospitalist,,connecticut,hospitalist,"361,623",
el paso texasphysician,8-Jun-23,el paso texas,physician,"361,590",With two date
north carolinaoptometrist,16-May-23,north carolina,optometrist,"360,898",With two date
canadagastroenterologist,6-Jun-23,canada,gastroenterologist,"360,761",
canadaradiologist,13-Jun-23,canada,radiologist,"359,791",With two date
theanesthesiologist,13-Jun-23,the,anesthesiologist,"359,417",With two date
new jerseyhospitalist,8-Jun-23,new jersey,hospitalist,"359,346",
des moines iowaoptometrist,,des moines iowa,optometrist,"359,153",
stoncologist,9-Jul-20,st,oncologist,"358,978",
palo alto californiasenior vice president of engineering,,palo alto california,senior vice president of engineering,"358,760",
atlanta georgiadermatologist,28-Feb-23,atlanta georgia,dermatologist,"358,473",
phoenix arizonavascular surgeon,20-Apr-23,phoenix arizona,vascular surgeon,"357,461",
seattle washingtonfamily medicine physician,16-May-23,seattle washington,family medicine physician,"357,437",
kansashospitalist,8-Apr-23,kansas,hospitalist,"357,385",
littleton coloradohospitalist,,littleton colorado,hospitalist,"357,347",
saskatchewanemergency medicine physician,4-Jun-23,saskatchewan,emergency medicine physician,"356,563",
harrisburg pennsylvaniaowner operator dr4er,18-May-23,harrisburg pennsylvania,owner operator dr4er,"356,282",With two date
idahooptometrist,26-Mar-23,idaho,optometrist,"356,153",
atlanta georgianephrologist,14-Oct-21,atlanta georgia,nephrologist,"356,086",
tampa floridaoptometrist,5-Jun-23,tampa florida,optometrist,"355,830",With two date
austin texashospitalist,20-Mar-23,austin texas,hospitalist,"355,666",With two date
nova scotiainternal medicine physician,8-Jun-23,nova scotia,internal medicine physician,"355,662",With two date
theoptometrist,17-Jun-23,the,optometrist,"355,316",With two date
winnipeg mbmédecin generaliste,,winnipeg mb,médecin generaliste,"354,658",
canberra actengineer manager,5-Feb-23,canberra act,engineer manager,"354,104",
new jerseyurgent care physician,,new jersey,urgent care physician,"353,783",
connecticutdermatologist,7-Jun-23,connecticut,dermatologist,"353,657",
vermontphysician,12-Jun-23,vermont,physician,"353,269",
washington district of columbiapilot,7-Jun-23,washington district of columbia,pilot,"353,099",With two date
miami floridaophthalmologist,5-Apr-23,miami florida,ophthalmologist,"352,997",With two date
halifax nspsychiatrist,17-Apr-23,halifax ns,psychiatrist,"352,895",
nevadaperiodontist,,nevada,periodontist,"352,427",
las vegas nevadaperiodontist,12-Jun-23,las vegas nevada,periodontist,"352,427",
canadaplastic surgeon,11-Jun-23,canada,plastic surgeon,"351,849",
honolulu hawaiiurgent care physician,16-Feb-23,honolulu hawaii,urgent care physician,"351,792",
edmonton abradiologist,1-Jun-23,edmonton ab,radiologist,"351,649",
des moines iowaowner operator dr4er,15-May-23,des moines iowa,owner operator dr4er,"350,655",
virginiahospitalist,18-Apr-23,virginia,hospitalist,"349,880",
nova scotiapsychiatrist,21-May-23,nova scotia,psychiatrist,"349,248",
long island new yorkdata scientist,26-May-23,long island new york,data scientist,"349,248",
virginiaoptometrist,14-Jun-23,virginia,optometrist,"348,800",
washington district of columbiaowner operator dr4er,9-Jun-23,washington district of columbia,owner operator dr4er,"348,190",
kentuckyhospitalist,12-Jun-23,kentucky,hospitalist,"347,970",With two date
little rock arkansasowner operator dr4er,12-Jun-23,little rock arkansas,owner operator dr4er,"346,919",With two date
west virginiaanesthesiologist,23-Dec-22,west virginia,anesthesiologist,"346,869",
vancouver bcanesthesiologist,16-Nov-22,vancouver bc,anesthesiologist,"346,482",
ottawa ontarioengineer manager,,ottawa ontario,engineer manager,"345,993",
marylandhospitalist,3-Jun-23,maryland,hospitalist,"345,786",
new jerseycardiology physician,29-May-23,new jersey,cardiology physician,"345,312",
knoxville tennesseeowner operator dr4er,27-May-23,knoxville tennessee,owner operator dr4er,"344,646",
virginia beach virginiaowner operator dr4er,10-May-23,virginia beach virginia,owner operator dr4er,"343,869",
toronto ontariosurgeon,19-Aug-21,toronto ontario,surgeon,"343,573",
baton rouge louisianaowner operator dr4er,27-May-23,baton rouge louisiana,owner operator dr4er,"343,517",
san diego californiaowner operator dr4er,6-May-23,san diego california,owner operator dr4er,"343,282",
tennesseeoptometrist,12-Jun-23,tennessee,optometrist,"343,280",
canadaanesthesiologist,16-Jun-23,canada,anesthesiologist,"342,708",
manitobapsychiatrist,21-May-23,manitoba,psychiatrist,"342,670",
arizonagastroenterologist,29-Jan-23,arizona,gastroenterologist,"342,076",
long beach californiaowner operator dr4er,,long beach california,owner operator dr4er,"341,539",
philadelphia pennsylvaniaowner,29-Apr-23,philadelphia pennsylvania,owner,"341,468",With two date
manitobageneral practitioner,2-Jun-23,manitoba,general practitioner,"341,399",
arlington virginiaoptometrist,22-Apr-23,arlington virginia,optometrist,"341,321",
san mateo californiavice president of engineering,,san mateo california,vice president of engineering,"341,261",
canadaobstetrics and gynecology physician,14-Jun-23,canada,obstetrics and gynecology physician,"341,087",
cincinnati ohiooptometrist,18-Apr-23,cincinnati ohio,optometrist,"340,706",With two date
new jerseyoptometrist,29-Apr-23,new jersey,optometrist,"340,597",
prince edward islandphysician,15-Feb-23,prince edward island,physician,"340,482",With two date
austin texasanesthesiologist,31-May-23,austin texas,anesthesiologist,"339,754",
staten island new yorkgastroenterologist,,staten island new york,gastroenterologist,"339,627",
canadaoncologist,,canada,oncologist,"339,522",
cambridge massachusettspsychiatrist,2-Mar-22,cambridge massachusetts,psychiatrist,"339,413",
sacramento californiaoptometrist,27-Apr-23,sacramento california,optometrist,"338,607",
californiahospitalist,15-Jun-23,california,hospitalist,"338,500",With two date
bronx new yorkendocrinologist,21-May-23,bronx new york,endocrinologist,"338,321",With two date
sacramento californiapsychiatrist,25-Jan-23,sacramento california,psychiatrist,"338,274",
boston massachusettschief technology officer,27-May-23,boston massachusetts,chief technology officer,"338,152",
texasanesthesiologist,14-Jun-23,texas,anesthesiologist,"337,928",
louisville coloradochief technology officer,,louisville colorado,chief technology officer,"337,905",
british columbiasenior engineer,,british columbia,senior engineer,"337,541",
salt lake city utahchief technology officer,,salt lake city utah,chief technology officer,"336,328",
spokane washingtonhospitalist,27-May-23,spokane washington,hospitalist,"335,981",
nova scotiaoncologist,9-Jun-23,nova scotia,oncologist,"335,891",With two date
nova scotiadata engineer,9-Jun-23,nova scotia,data engineer,"335,891",With two date
louisianapulmonologist,12-Apr-23,louisiana,pulmonologist,"335,512",
wyomingpsychiatrist,9-Jun-23,wyoming,psychiatrist,"335,436",
massachusettsowner operator dr4er,3-May-23,massachusetts,owner operator dr4er,"335,433",
virginia beach virginiadermatologist,20-Feb-22,virginia beach virginia,dermatologist,"335,297",
new brunswickoptometrist,6-Jun-23,new brunswick,optometrist,"335,133",With two date
philadelphia pennsylvaniaorthodontist,12-Oct-22,philadelphia pennsylvania,orthodontist,"334,982",
texashospitalist,15-Jun-23,texas,hospitalist,"334,944",
nevadapsychiatrist,9-Jun-23,nevada,psychiatrist,"334,760",
fort lauderdale floridaowner operator dr4er,22-Apr-23,fort lauderdale florida,owner operator dr4er,"334,554",With two date
winnipeg mboncologist,16-Nov-22,winnipeg mb,oncologist,"334,210",
los angeles californiacardiology physician,,los angeles california,cardiology physician,"334,082",
las vegas nevadaplastic surgeon,29-May-23,las vegas nevada,plastic surgeon,"333,716",With two date
kentuckypsychiatrist,27-Apr-23,kentucky,psychiatrist,"333,578",
louisville kentuckypsychiatrist,25-May-23,louisville kentucky,psychiatrist,"333,402",With two date
alaskadata scientist,13-Jun-23,alaska,data scientist,"333,137",
alaskadata engineer,13-Jun-23,alaska,data engineer,"333,137",
boston massachusettsquantitat4e trader,,boston massachusetts,quantitat4e trader,"332,972",
new yorkoptometrist,15-Jun-23,new york,optometrist,"332,945",
marylanddermatologist,13-Nov-22,maryland,dermatologist,"332,923",
charlotte north carolinahospitalist,25-Apr-23,charlotte north carolina,hospitalist,"332,352",With two date
orlando floridaneurologist,21-Mar-23,orlando florida,neurologist,"331,858",
british columbianeurologist,1-Apr-23,british columbia,neurologist,"331,741",With two date
indianapsychiatrist,11-Jun-23,indiana,psychiatrist,"331,623",
montanahospitalist,18-Apr-23,montana,hospitalist,"331,347",
san jose californiapsychiatrist,12-May-23,san jose california,psychiatrist,"331,068",
redmond washingtonowner operator dr4er,4-Feb-23,redmond washington,owner operator dr4er,"330,853",With two date
brooklyn new yorkoptometrist,27-May-23,brooklyn new york,optometrist,"330,696",
salt lake city utahowner operator dr4er,12-Jun-23,salt lake city utah,owner operator dr4er,"330,469",
boston massachusettsgeneral contractor,,boston massachusetts,general contractor,"330,391",
austin texasdermatologist,6-Nov-20,austin texas,dermatologist,"330,049",
staten island new yorkoptometrist,,staten island new york,optometrist,"330,016",
pittsburgh pennsylvaniapsychiatrist,,pittsburgh pennsylvania,psychiatrist,"329,612",
prince edward islandoncologist,,prince edward island,oncologist,"329,549",
fresno californiaorthodontist,21-May-23,fresno california,orthodontist,"329,371",With two date
boise idahooptometrist,5-Jun-23,boise idaho,optometrist,"329,231",
san francisco bay area californiapsychiatrist,15-May-23,san francisco bay area california,psychiatrist,"329,166",With two date
saskatchewansurgeon,29-Jul-22,saskatchewan,surgeon,"328,867",
new york new yorkendocrinologist,4-Jun-23,new york new york,endocrinologist,"328,774",
seattle washingtononcologist,13-Jun-23,seattle washington,oncologist,"328,630",
buffalo new yorkneurologist,27-May-23,buffalo new york,neurologist,"328,417",
british columbianeurologue,5-May-23,british columbia,neurologue,"328,035",
palo alto californiadermatologist,,palo alto california,dermatologist,"327,867",
san francisco californiadermatologist,11-Apr-23,san francisco california,dermatologist,"327,843",With two date
oregonhospitalist,27-May-23,oregon,hospitalist,"327,830",
canadapsychiatrist,15-Jun-23,canada,psychiatrist,"327,254",
irvine californiapsychiatrist,23-May-23,irvine california,psychiatrist,"327,068",
british columbiainternal medicine physician,27-May-23,british columbia,internal medicine physician,"326,789",With two date
mississippisurgeon,7-Jun-22,mississippi,surgeon,"326,286",
wisconsinhospitalist,27-May-23,wisconsin,hospitalist,"326,151",
philadelphia pennsylvaniapsychiatrist,12-Jun-23,philadelphia pennsylvania,psychiatrist,"326,046",
sunnyvale californiadirector of information technology,,sunnyvale california,director of information technology,"325,700",
san jose californiahospitalist,5-Jun-23,san jose california,hospitalist,"325,647",
british columbiahospitalist,,british columbia,hospitalist,"325,077",
milwaukee wisconsinhospitalist,20-Mar-23,milwaukee wisconsin,hospitalist,"325,022",With two date
calgary abvice president of engineering,22-May-23,calgary ab,vice president of engineering,"324,773",
ontario californiaophthalmologist,15-Jun-23,ontario california,ophthalmologist,"324,619",
saskatchewandata engineer,12-Jun-23,saskatchewan,data engineer,"324,601",With two date
saskatchewanphysician,12-Jun-23,saskatchewan,physician,"324,601",
hoboken new jerseysenior security engineer,21-Jan-23,hoboken new jersey,senior security engineer,"324,513",
toronto ontarioanesthesiologist,6-Jun-23,toronto ontario,anesthesiologist,"324,499",
baltimore marylandhospitalist,30-Mar-23,baltimore maryland,hospitalist,"324,464",With two date
british columbiapsychiatrist,27-May-23,british columbia,psychiatrist,"324,382",
west virginiaemergency medicine physician,6-May-23,west virginia,emergency medicine physician,"324,083",
jacksonville floridahospitalist,13-Mar-23,jacksonville florida,hospitalist,"323,818",
ontario californiagastroenterologist,,ontario california,gastroenterologist,"323,704",
new jerseypsychiatrist,12-Jun-23,new jersey,psychiatrist,"323,302",With two date
greensboro north carolinaowner operator dr4er,2-May-23,greensboro north carolina,owner operator dr4er,"323,285",
georgiaanesthesiologist,15-Nov-22,georgia,anesthesiologist,"323,245",
grand rapids michiganphysician,22-May-23,grand rapids michigan,physician,"322,962",With two date
