locationjob,date,location,job,salary,two_date
stamford connecticutmobile developer,,stamford connecticut,mobile developer,"124,072",
natick massachusettssenior java developer,,natick massachusetts,senior java developer,"124,070",
palo alto californiasenior software developer,,palo alto california,senior software developer,"124,063",
modesto californiasoftware engineer,20-Feb-23,modesto california,software engineer,"124,061",
san mateo californiadata analyst,,san mateo california,data analyst,"124,056",With two date
houston texascyber security engineer,26-May-23,houston texas,cyber security engineer,"124,043",
new brunswick new jerseysenior java developer,,new brunswick new jersey,senior java developer,"124,042",
fort walton beach floridaprincipal software engineer,20-Feb-22,fort walton beach florida,principal software engineer,"124,039",
california marylandsenior engineer,,california maryland,senior engineer,"124,025",
san francisco californiasas programmer,,san francisco california,sas programmer,"124,025",
chesterfield virginiasenior engineer,,chesterfield virginia,senior engineer,"124,009",
san francisco californiareal estate appraiser,12-Apr-23,san francisco california,real estate appraiser,"124,004",With two date
plano texassenior member of technical,9-May-23,plano texas,senior member of technical,"124,001",
tehachapi californiasite reliability engineer,14-May-20,tehachapi california,site reliability engineer,"124,000",
las vegas nevadadata analyst,,las vegas nevada,data analyst,"124,000",
albany new yorkdirector of engineering,31-May-22,albany new york,director of engineering,"123,996",With two date
worcester massachusettsprincipal technical lead,,worcester massachusetts,principal technical lead,"123,991",
washington district of columbiacommercial real estate agent,11-Apr-23,washington district of columbia,commercial real estate agent,"123,987",With two date
omaha nebraskasenior vice president of engineering,21-Feb-23,omaha nebraska,senior vice president of engineering,"123,983",
pasadena texassenior java developer,,pasadena texas,senior java developer,"123,982",
cranbury new jerseysenior engineer,,cranbury new jersey,senior engineer,"123,979",
long island new yorkdata engineer,,long island new york,data engineer,"123,977",
silicon valley californiamachine learning engineer,4-Apr-22,silicon valley california,machine learning engineer,"123,972",
winnipeg mbmaterial specialist,,winnipeg mb,material specialist,"123,970",
herndon virginiaproduct owner,,herndon virginia,product owner,"123,959",
oakville ontariosoftware engineering manager,,oakville ontario,software engineering manager,"123,954",
reston virginia.net developer,,reston virginia,.net developer,"123,947",
sioux falls south dakotasoftware architect,,sioux falls south dakota,software architect,"123,942",
canton massachusettssenior java developer,,canton massachusetts,senior java developer,"123,933",
queens new yorkmobile developer,,queens new york,mobile developer,"123,927",
lynn massachusettssenior engineer,,lynn massachusetts,senior engineer,"123,926",
ottawa ontariosenior software developer,2-Jun-23,ottawa ontario,senior software developer,"123,924",
colorado springs coloradosubject matter expert,3-Jun-23,colorado springs colorado,subject matter expert,"123,924",
greenwich connecticutdirector of engineering,,greenwich connecticut,director of engineering,"123,920",
brisbane qldprincipal senior web developer,,brisbane qld,principal senior web developer,"123,917",
queenslandprincipal senior web developer,,queensland,principal senior web developer,"123,917",
cincinnati ohiosenior engineering manager,30-Jan-22,cincinnati ohio,senior engineering manager,"123,916",
